"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge"
"SierraCarbonera",1,6,"CM1.6.1",2005,4.49980967033027,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,1,1,0
"SierraCarbonera",1,7,"CM1.7.1",2005,6.03068526026126,5.93224518744801,1,2,2,"1",NA,2011,6,">three","LG","LR","LR",1,1,1
"SierraCarbonera",1,9,"CM1.9.1",2005,5.01063529409626,5.2040066870768,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",2,2,2
"SierraCarbonera",1,9,"CM1.9.2",2005,4.96284463025991,5.03695260241363,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",2,2,2
"SierraCarbonera",1,10,"CM1.10.1",2005,4.78749174278205,4.47733681447821,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",10,8,7
"SierraCarbonera",1,10,"CM1.10.2",2005,4.62497281328427,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.3",2005,4.51085950651685,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.4",2005,4.43081679884331,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.5",2005,4.47733681447821,NA,0,NA,NA,"0",NA,2011,6,">three","LG","J",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.6",2005,3.68887945411394,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.7",2005,5.27299955856375,5.27811465923052,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",10,8,7
"SierraCarbonera",1,10,"CM1.10.8",2005,5.07517381523383,NA,0,NA,NA,"0",NA,2011,6,">three","LG","SR",NA,10,8,7
"SierraCarbonera",1,10,"CM1.10.9",2005,4.96284463025991,5.4553211153577,0,NA,NA,"1",NA,2011,6,">three","LG","SR","SR",10,8,7
"SierraCarbonera",1,10,"CM1.10.10",2005,5.88610403145016,4.71849887129509,1,2,2,"1",NA,2011,6,">three","LG","LR","SR",10,8,7
"SierraCarbonera",2,1,"CM2.1.1",2005,5.96614673912369,6.35610766069589,1,3,3,"1",NA,2011,6,">three","LG","LR","LR",1,1,1
"SierraCarbonera",2,5,"CM2.5.1",2005,6.17378610390194,5.66296048013595,1,1,4,"1",NA,2011,6,">three","LG","LR","LR",7,7,7
"SierraCarbonera",2,5,"CM2.5.2",2005,5.01063529409626,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,7,7,7
"SierraCarbonera",2,5,"CM2.5.3",2005,5.25749537202778,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,7,7,7
"SierraCarbonera",2,5,"CM2.5.4",2005,5.88610403145016,5.65248918026865,1,2,3,"1",NA,2011,6,">three","LG","LR","LR",7,7,7
"SierraCarbonera",2,5,"CM2.5.5",2005,5.63478960316925,5.28826703069454,1,1,4,"1",NA,2011,6,">three","LG","LR","SR",7,7,7
"SierraCarbonera",2,5,"CM2.5.6",2005,5.2040066870768,4.85203026391962,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",7,7,7
"SierraCarbonera",2,5,"CM2.5.7",2005,5.31811999384422,NA,1,2,1,"0",NA,2011,6,">three","LG","SR",NA,7,7,7
"SierraCarbonera",2,6,"CM2.6.1",2005,5.82894561761021,4.96284463025991,1,2,2,"1",NA,2011,6,">three","LG","LR","SR",2,2,2
"SierraCarbonera",2,6,"CM2.6.2",2005,4.78749174278205,4.9416424226093,0,NA,NA,"1",NA,2011,6,">three","LG","SR","SR",2,2,2
"SierraCarbonera",2,7,"CM2.7.1",2005,5.96614673912369,6.10479323241498,1,2,2,"1",NA,2011,6,">three","LG","LR","LR",1,1,1
"SierraCarbonera",2,8,"CM2.8.1",2005,5.95064255258773,5.88610403145016,1,2,6,"1",NA,2011,6,">three","LG","LR","LR",2,2,2
"SierraCarbonera",2,8,"CM2.8.2",2005,5.41610040220442,5.27299955856375,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",2,2,2
"SierraCarbonera",2,10,"CM2.10.1",2005,5.54126354515843,NA,1,2,4,"0",NA,2011,6,">three","LG","LR",NA,1,1,1
"SierraCarbonera",3,1,"CM3.1.1",2005,5.59842195899838,NA,1,2,1,"0",NA,2011,6,">three","LG","LR",NA,7,7,7
"SierraCarbonera",3,1,"CM3.1.2",2005,5.59842195899838,5.19295685089021,1,1,7,"1",NA,2011,6,">three","LG","LR","SR",7,7,7
"SierraCarbonera",3,1,"CM3.1.3",2005,6.29156913955832,6.05208916892442,1,1,5,"1",NA,2011,6,">three","LG","LR","LR",7,7,7
"SierraCarbonera",3,1,"CM3.1.4",2005,5.93489419561959,5.23110861685459,1,2,3,"1",NA,2011,6,">three","LG","LR","SR",7,7,7
"SierraCarbonera",3,1,"CM3.1.5",2005,5.48063892334199,5.93489419561959,1,2,2,"1",NA,2011,6,">three","LG","SR","LR",7,7,7
"SierraCarbonera",3,1,"CM3.1.6",2005,4.88280192258637,5.23110861685459,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",7,7,7
"SierraCarbonera",3,1,"CM3.1.7",2005,5.10594547390058,4.90527477843843,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",7,7,7
"SierraCarbonera",3,2,"CM3.2.1",2005,6.32435896238131,5.98141421125448,1,2,3,"1",NA,2011,6,">three","LG","LR","LR",10,7,8
"SierraCarbonera",3,2,"CM3.2.2",2005,5.12396397940326,5.73009978297357,1,1,4,"1",NA,2011,6,">three","LG","SR","LR",10,7,8
"SierraCarbonera",3,2,"CM3.2.3",2005,4.86753445045558,NA,0,NA,NA,"0",NA,2011,6,">three","LG","J",NA,10,7,8
"SierraCarbonera",3,2,"CM3.2.4",2005,4.24849524204936,4.00733318523247,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.5",2005,5.78074351579233,5.27811465923052,1,4,4,"1",NA,2011,6,">three","LG","LR","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.6",2005,4.35670882668959,4.51085950651685,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.7",2005,5.41164605185504,4.0943445622221,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.8",2005,5.4553211153577,5.48063892334199,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.9",2005,4.65396035015752,4.71849887129509,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",10,7,8
"SierraCarbonera",3,2,"CM3.2.10",2005,4.86753445045558,4.71849887129509,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",10,7,8
"SierraCarbonera",3,3,"CM3.3.1",2005,5.31811999384422,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,3,3,3
"SierraCarbonera",3,3,"CM3.3.2",2005,5.4553211153577,4.90527477843843,1,1,4,"1",NA,2011,6,">three","LG","SR","SR",3,3,3
"SierraCarbonera",3,3,"CM3.3.3",2005,6.27664348934164,NA,1,2,6,"0",NA,2011,6,">three","LG","LR",NA,3,3,3
"SierraCarbonera",3,4,"CM3.4.1",2005,4.27666611901606,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,2,2,1
"SierraCarbonera",3,4,"CM3.4.2",2005,4.65396035015752,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,2,2,1
"SierraCarbonera",3,9,"CM3.9.1",2005,4.51085950651685,4.43081679884331,1,1,4,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.2",2005,5.85793315448346,5.5834963087817,1,1,2,"1",NA,2011,6,">three","LG","LR","LR",11,11,9
"SierraCarbonera",3,9,"CM3.9.3",2005,4.71849887129509,4.969813299576,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.4",2005,4.35670882668959,4.71849887129509,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.5",2005,4.59511985013459,NA,0,NA,NA,"0",NA,2011,6,">three","LG","SR",NA,11,11,9
"SierraCarbonera",3,9,"CM3.9.6",2005,4.68213122712422,4.78749174278205,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.7",2005,5.2040066870768,5.2040066870768,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.8",2005,4.49980967033027,4.64439089914137,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.9",2005,5.41164605185504,5.2040066870768,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",11,11,9
"SierraCarbonera",3,9,"CM3.9.10",2005,5.60947179518496,NA,1,3,1,"0",NA,2011,6,">three","LG","LR",NA,11,11,9
"SierraCarbonera",3,9,"CM3.9.11",2005,5.03695260241363,NA,1,2,1,"0",NA,2011,6,">three","LG","SR",NA,11,11,9
"SierraCarbonera",3,10,"CM3.10.1",2005,5.37527840768417,5.39362754635236,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.2",2005,5.17048399503815,5.19295685089021,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.3",2005,4.78749174278205,5.31811999384422,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.4",2005,5.37527840768417,5.77765232322266,1,1,6,"1",NA,2011,6,">three","LG","SR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.5",2005,4.70048036579242,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,15,14,14
"SierraCarbonera",3,10,"CM3.10.6",2005,6.41673228251233,6.52209279817015,1,1,1,"1",NA,2011,6,">three","LG","LR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.7",2005,5.82894561761021,6.16331480403464,1,2,4,"1",NA,2011,6,">three","LG","LR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.8",2005,4.59511985013459,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,15,14,14
"SierraCarbonera",3,10,"CM3.10.9",2005,5.12989871492307,5.37527840768417,1,2,2,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.10",2005,4.83628190695148,4.51085950651685,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.11",2005,4.34380542185368,4.56434819146784,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.12",2005,5.19295685089021,5.54517744447956,1,1,7,"1",NA,2011,6,">three","LG","SR","LR",15,14,14
"SierraCarbonera",3,10,"CM3.10.13",2005,4.58496747867057,4.49980967033027,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.14",2005,5.17048399503815,5.27299955856375,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",15,14,14
"SierraCarbonera",3,10,"CM3.10.15",2005,4.969813299576,5.31811999384422,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",15,14,14
