"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge","size_unscaled","abLarge_unscaled","TSFcont_unscaled","quadratID","date","summerT_unscaled","summerT","fallR_unscaled","fallR","winterR_unscaled","winterR","fallwinterR_unscaled","fallwinterR","prevwinterT_unscaled","prevwinterT","prevfallR_unscaled","prevfallR","prevwinterR_unscaled","prevwinterR"
"Retin",1,7,"RO1.7.16",1996,0.39868446122284,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","SR",NA,22,6,2.39857791343978,5.25749537202778,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.23",1996,0.145423281430601,4.51085950651685,NA,NA,NA,1,NA,"2016",-1.39070093347069,">10","PD","SR","SR",22,6,2.39857791343978,4.49980967033027,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.25",1996,0.324966662534029,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","SR",NA,22,6,2.39857791343978,5.03695260241363,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.36",1996,0.283419374125763,5.04985600724954,NA,NA,NA,1,NA,"2016",-1.39070093347069,">10","PD","SR","SR",22,6,2.39857791343978,4.91265488573605,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.37",1996,0.470474447707544,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","SR",NA,22,6,2.39857791343978,5.47227067367148,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.38",1996,0.268337586722003,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","SR",NA,22,6,2.39857791343978,4.86753445045558,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.45",1996,0.534213706943066,5.39362754635236,NA,NA,NA,1,NA,"2016",-1.39070093347069,">10","PD","J","SR",22,6,2.39857791343978,5.66296048013595,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.46",1996,-0.0510480837881766,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","J",NA,22,6,2.39857791343978,3.91202300542815,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.47",1996,0.218521513217326,NA,NA,NA,NA,0,NA,"2016",-1.39070093347069,">10","PD","J",NA,22,6,2.39857791343978,4.71849887129509,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.52",1996,0.0708361552089301,NA,0,NA,NA,0,4.27666611901606,"2016",-1.39070093347069,">10","PD","SD",NA,22,6,2.39857791343978,4.27666611901606,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
"Retin",1,7,"RO1.7.53",1996,-0.341015568663654,5.48063892334199,0,NA,NA,1,3.04452243772342,"2016",-1.39070093347069,">10","PD","SD","J",22,6,2.39857791343978,3.04452243772342,7,20,"1_7",2016-05-01,26.1729348988603,0.109140495573197,231.000003442168,0.717741658860049,172.10000256449,-0.240311630772715,546.300008140504,0.324655247244646,17.8422925192507,0.419023955935192,122.400001823902,-0.102357607105545,156.600002333522,-0.468407194928843
