"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.053196778731086,0,2,5,156,1,0,1,11,0.25850916229956
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0695856925688888,0,2,5,156,1,0,1,11,0.293450536243687
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0600226604665705,0,2,5,156,1,0,1,11,0.286045431526006
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0786452096119716,0,2,5,156,1,0,1,11,0.346794576666366
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0603225904998186,0,2,5,156,1,0,1,11,0.288496800258047
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0467700487837771,0,2,5,156,1,0,1,11,0.227917598224088
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.132122789082068,0,2,5,156,1,0,1,11,0.482326471098434
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0635308444793436,0,2,5,156,1,0,1,11,0.286332183702595
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0616750609889117,0,2,5,156,1,0,1,11,0.288460847934619
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0538170061192278,0,2,5,156,1,0,1,11,0.254371092478222
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.123127504832352,0,2,5,156,1,0,1,11,0.497299336264806
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0238352578751615,0,2,5,156,1,0,1,11,0.097151772061787
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0627945762803279,0,2,5,156,1,0,1,11,0.272981217297124
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0633900853849164,0,2,5,156,1,0,1,11,0.301098533857451
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.05789227912713,0,2,5,156,1,0,1,11,0.281254254894249
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0647887478306592,0,2,5,156,1,0,1,11,0.309834033075243
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0544628314512987,0,2,5,156,1,0,1,11,0.236537213713535
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0619644794314072,0,2,5,156,1,0,1,11,0.271555183463483
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0457816920445887,0,2,5,156,1,0,1,11,0.206096182239013
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0578568189000766,0,2,5,156,1,0,1,11,0.267744219027679
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0760663152979481,0,2,5,156,1,0,1,11,0.304958002945275
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0621153532592685,0,2,5,156,1,0,1,11,0.279372663554706
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0745159713228869,0,2,5,156,1,0,1,11,0.367646339699691
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0588009060099249,0,2,5,156,1,0,1,11,0.291089695660037
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.060352292983861,0,2,5,156,1,0,1,11,0.282912039360529
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0849712193723418,0,2,5,156,1,0,1,11,0.332989871704371
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0425797357880949,0,2,5,156,1,0,1,11,0.193114629221714
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0599537587929798,0,2,5,156,1,0,1,11,0.274312139800737
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0630863843331636,0,2,5,156,1,0,1,11,0.298906418499674
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0544053723009441,0,2,5,156,1,0,1,11,0.28045756203099
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0567969909758671,0,2,5,156,1,0,1,11,0.278898596119209
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0518395202080284,0,2,5,156,1,0,1,11,0.233804287239678
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0567926855898242,0,2,5,156,1,0,1,11,0.268888099404205
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0606552901205722,0,2,5,156,1,0,1,11,0.290277747609051
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0810104844614122,0,2,5,156,1,0,1,11,0.311887697898312
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0583619812158303,0,2,5,156,1,0,1,11,0.260823316368351
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0665754930054578,0,2,5,156,1,0,1,11,0.298909074497833
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.128938456293554,0,2,5,156,1,0,1,11,0.500415144466808
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0507728637607861,0,2,5,156,1,0,1,11,0.234665523972104
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0570923275083899,0,2,5,156,1,0,1,11,0.266682420433509
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0627345783932293,0,2,5,156,1,0,1,11,0.296751089115347
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0446747072713175,0,2,5,156,1,0,1,11,0.182091333335239
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0492062277916116,0,2,5,156,1,0,1,11,0.220191527991746
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0625436202699636,0,2,5,156,1,0,1,11,0.281042118024795
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0537689217810182,0,2,5,156,1,0,1,11,0.248050978968412
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0545423890266076,0,2,5,156,1,0,1,11,0.25666676377312
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0594976426115446,0,2,5,156,1,0,1,11,0.295524007835971
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0726384165068266,0,2,5,156,1,0,1,11,0.359936620464257
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0627127151473875,0,2,5,156,1,0,1,11,0.300264078302304
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0686694619865476,0,2,5,156,1,0,1,11,0.276327512033469
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0499537027172677,0,2,5,156,1,0,1,11,0.250302973833655
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0484642868622815,0,2,5,156,1,0,1,11,0.237455214260291
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0620802510151772,0,2,5,156,1,0,1,11,0.260089555355616
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0486117508349725,0,2,5,156,1,0,1,11,0.232326153085157
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0627920337722447,0,2,5,156,1,0,1,11,0.291146342095668
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0656956746093736,0,2,5,156,1,0,1,11,0.318241886554603
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0699097291563243,0,2,5,156,1,0,1,11,0.315902805710263
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0637482973965016,0,2,5,156,1,0,1,11,0.300540831421227
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0507216253292188,0,2,5,156,1,0,1,11,0.23806928131493
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0565933039845021,0,2,5,156,1,0,1,11,0.251342948005387
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0601043268248233,0,2,5,156,1,0,1,11,0.27460112262605
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0656096062463756,0,2,5,156,1,0,1,11,0.28963699307896
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0668864430748021,0,2,5,156,1,0,1,11,0.31469505457231
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0687970760334778,0,2,5,156,1,0,1,11,0.30236942684592
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0683677074668154,0,2,5,156,1,0,1,11,0.298028270792862
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0651529850537477,0,2,5,156,1,0,1,11,0.307601909619697
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0600003343040078,0,2,5,156,1,0,1,11,0.278483055173329
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.06207450923612,0,2,5,156,1,0,1,11,0.2722680498558
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0817051996898718,0,2,5,156,1,0,1,11,0.349838765092665
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0553045454916476,0,2,5,156,1,0,1,11,0.265151139303436
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0497964169828394,0,2,5,156,1,0,1,11,0.22871377638412
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0628379779438304,0,2,5,156,1,0,1,11,0.302061861892509
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.083088263211262,0,2,5,156,1,0,1,11,0.384700193001786
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0788833693797555,0,2,5,156,1,0,1,11,0.337720070299132
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0602734083492164,0,2,5,156,1,0,1,11,0.272964731148518
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0507951302914506,0,2,5,156,1,0,1,11,0.261409597848163
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0556378830821013,0,2,5,156,1,0,1,11,0.26672395897014
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0597187339729258,0,2,5,156,1,0,1,11,0.289049386110567
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0590119597401228,0,2,5,156,1,0,1,11,0.285189061328936
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0593965247812546,0,2,5,156,1,0,1,11,0.283854752376434
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0502397230862778,0,2,5,156,1,0,1,11,0.243324654465193
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0612465433498719,0,2,5,156,1,0,1,11,0.286997383326261
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0627994775100658,0,2,5,156,1,0,1,11,0.299512283014073
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0536680807520012,0,2,5,156,1,0,1,11,0.260419534971331
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0558371616168063,0,2,5,156,1,0,1,11,0.251887829470551
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0503293779229004,0,2,5,156,1,0,1,11,0.215202859052121
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0639281598886377,0,2,5,156,1,0,1,11,0.275076300632588
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0646512567959544,0,2,5,156,1,0,1,11,0.260578385117709
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0699969318780659,0,2,5,156,1,0,1,11,0.319567727117483
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0568902406429974,0,2,5,156,1,0,1,11,0.284810510735987
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0631555396048697,0,2,5,156,1,0,1,11,0.314219370335695
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0435007786790741,0,2,5,156,1,0,1,11,0.192616959713077
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0541831798683596,0,2,5,156,1,0,1,11,0.241644569739931
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.074516548580257,0,2,5,156,1,0,1,11,0.305537322105098
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0485115751654568,0,2,5,156,1,0,1,11,0.226093321771647
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0608610350517369,0,2,5,156,1,0,1,11,0.271925313934699
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0729806265606295,0,2,5,156,1,0,1,11,0.339527485471326
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.074398458349396,0,2,5,156,1,0,1,11,0.334897773980641
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0562543245121296,0,2,5,156,1,0,1,11,0.268136120420853
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0597815025130566,0,2,5,156,1,0,1,11,0.292419931854495
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0230560399161502,1,2,5,156,1,0,1,11,0.108996147433084
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.020035933219873,1,2,5,156,1,0,1,11,0.104825168889468
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0195354164762991,1,2,5,156,1,0,1,11,0.0935706982935639
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0239535485026758,1,2,5,156,1,0,1,11,0.139377013543127
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0198196142930497,1,2,5,156,1,0,1,11,0.117778954052191
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0282981984418887,1,2,5,156,1,0,1,11,0.148199102828651
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0245895801455498,1,2,5,156,1,0,1,11,0.139523024588926
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0230721061479817,1,2,5,156,1,0,1,11,0.108204371121311
