"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524796984920343,0,2,6,59,0,0,0,16,1.81524223860031
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.518439894198902,0,2,6,59,0,0,0,16,1.8023456765889
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522820340847678,0,2,6,59,0,0,0,16,1.83606745605243
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526346029002416,0,2,6,59,0,0,0,16,1.8101723237251
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.527223466721595,0,2,6,59,0,0,0,16,1.80973643725325
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522519066205676,0,2,6,59,0,0,0,16,1.81224051270443
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.531670252701342,0,2,6,59,0,0,0,16,1.8261398200703
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.519950887962778,0,2,6,59,0,0,0,16,1.81360691856938
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526699931894203,0,2,6,59,0,0,0,16,1.83819869457438
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.510877208472755,0,2,6,59,0,0,0,16,1.79776677459993
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523867217313869,0,2,6,59,0,0,0,16,1.80254295073652
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.514296143652891,0,2,6,59,0,0,0,16,1.79296583711259
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.532272156662826,0,2,6,59,0,0,0,16,1.83048521729763
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.52251671530073,0,2,6,59,0,0,0,16,1.82766648547101
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526001713645208,0,2,6,59,0,0,0,16,1.80698386514668
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524086211500547,0,2,6,59,0,0,0,16,1.80424007862143
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.525440210260277,0,2,6,59,0,0,0,16,1.81252312136541
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.53183673147461,0,2,6,59,0,0,0,16,1.84186930717186
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.52383265093969,0,2,6,59,0,0,0,16,1.81874601391679
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.529169718671561,0,2,6,59,0,0,0,16,1.81776792535438
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522090367445064,0,2,6,59,0,0,0,16,1.81085433471767
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.527861844681917,0,2,6,59,0,0,0,16,1.83499998210222
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.528543977677809,0,2,6,59,0,0,0,16,1.82566960432892
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.523638592680525,0,2,6,59,0,0,0,16,1.79682799125053
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526996892313512,0,2,6,59,0,0,0,16,1.82954864351352
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524847705268214,0,2,6,59,0,0,0,16,1.82388327966551
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526002121302587,0,2,6,59,0,0,0,16,1.83029842974636
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.520111748442122,0,2,6,59,0,0,0,16,1.79614499556659
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526656366643313,0,2,6,59,0,0,0,16,1.81750869322482
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.517131105321955,0,2,6,59,0,0,0,16,1.80822169279128
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.531865840105992,0,2,6,59,0,0,0,16,1.81685828671924
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.525985459631615,0,2,6,59,0,0,0,16,1.81101431500141
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.527346872152524,0,2,6,59,0,0,0,16,1.79519368574731
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.532156532924104,0,2,6,59,0,0,0,16,1.82758744025403
