"Name","locality","Longitude","Latitude","Altitude","month","year","pet","pr","tas","tasmax","tasmin","X","pet_c","pet_scaled","pr_scaled","tas_scaled"
"Haknovec","Hk",14.19022,49.93912,287,1,1980,1185,26.57,-4.44999999999999,-2.44999999999999,-8.04999999999995,5,6.10256897598015,-1.43363458829029,-0.0378462248688072,-1.23468365284075
"Císarská rokle","Cr",14.13109,49.92955,270,1,1980,1060,28.49,-4.54999999999995,-2.44999999999999,-8.04999999999995,6,6.08570290508911,-1.39098750247626,0.0631283255577871,-1.24100106804276
"Kodská stena","Ks",14.12305,49.93391,350,1,1980,1204,28.15,-4.54999999999995,-2.54999999999995,-8.04999999999995,7,5.97380767336374,-1.46126991201785,0.0528827338682919,-1.24289385415503
"Radotánské údolí","Ru",14.312,49.99823,290,1,1980,1171,25.66,-4.44999999999999,-2.44999999999999,-8.14999999999998,8,6.14918978496751,-1.4238969343064,-0.198100249420734,-1.27016915456348
"Haknovec","Hk",14.19022,49.93912,287,1,1981,1507,32.68,-3.04999999999995,-0.649999999999977,-6.94999999999999,5,7.46467086565824,-0.466067755878901,0.516914324685603,-0.779800201794147
"Císarská rokle","Cr",14.13109,49.92955,270,1,1981,1466,33.88,-3.14999999999998,-0.75,-7.04999999999995,6,7.39878761606034,-0.44838929640533,0.540402655527524,-0.784090747132871
"Kodská stena","Ks",14.12305,49.93391,350,1,1981,1710,33.72,-3.34999999999997,-0.949999999999989,-7.14999999999998,7,7.21914152329648,-0.55596980715358,0.549258810050035,-0.844636811435132
"Radotánské údolí","Ru",14.312,49.99823,290,1,1981,1626,33.13,-3.14999999999998,-0.75,-7.14999999999998,8,7.43980337954116,-0.512112988349186,0.44386529274505,-0.838477677195497
"Haknovec","Hk",14.19022,49.93912,287,1,1982,1232,27.01,-5.25,-1.94999999999999,-8.64999999999998,5,7.01319183412954,-0.786775141829025,0.00210379833969381,-1.4946170534388
"Císarská rokle","Cr",14.13109,49.92955,270,1,1982,1147,27.83,-5.34999999999997,-2.04999999999995,-8.64999999999998,6,6.89571506968952,-0.809520056493095,0.00468657086761523,-1.50209267999127
"Kodská stena","Ks",14.12305,49.93391,350,1,1982,1328,27.37,-5.34999999999997,-2.14999999999998,-8.75,7,6.83921598617868,-0.832158098840936,-0.0166277399955786,-1.50839854930164
"Radotánské údolí","Ru",14.312,49.99823,290,1,1982,1300,26.81,-5.14999999999998,-1.75,-8.64999999999998,8,7.21460192354888,-0.671211786814719,-0.0992702128088666,-1.50261841160777
"Haknovec","Hk",14.19022,49.93912,287,1,1983,2180,33.92,3.75,5.75,1.25,5,8.7655631316569,0.45801892123324,0.629500753727743,1.42963370328928
"Císarská rokle","Cr",14.13109,49.92955,270,1,1983,2528,34.37,3.65000000000003,5.55000000000001,1.15000000000003,6,8.53544136727745,0.367557898675912,0.583791230979318,1.43518795442947
"Kodská stena","Ks",14.12305,49.93391,350,1,1983,2981,33.97,3.55000000000001,5.45000000000005,1.05000000000001,7,8.49898964105749,0.374420573933352,0.571537808083327,1.44534118420433
"Radotánské údolí","Ru",14.312,49.99823,290,1,1983,2700,33.82,3.75,5.75,1.15000000000003,8,8.87304878428547,0.500436512258325,0.503163314712171,1.45280785652684
"Haknovec","Hk",14.19022,49.93912,287,1,1984,1665,24.17,0.950000000000045,3.05000000000001,-1.34999999999997,5,7.66074589140269,-0.326786184498529,-0.255755442369721,0.519866801196111
"Císarská rokle","Cr",14.13109,49.92955,270,1,1984,1958,24.69,0.850000000000023,2.95000000000005,-1.44999999999999,6,7.61370060661956,-0.294113949453322,-0.273354504476535,0.52136731260968
"Kodská stena","Ks",14.12305,49.93391,350,1,1984,2310,24.54,0.650000000000034,2.75,-1.54999999999995,7,7.4093061819333,-0.41772889656187,-0.268825997732443,0.482886664297892
"Radotánské údolí","Ru",14.312,49.99823,290,1,1984,2049,25.27,0.75,2.95000000000005,-1.54999999999995,8,7.68705560793022,-0.337435909636277,-0.231616522706498,0.456596754908432
