"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.021970723801257,0,10.6,10,47,0,0,0,35,0.0630009491797518
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0179465463238515,0,10.6,10,47,0,0,0,35,0.0520376761880079
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.010518121992051,0,10.6,10,47,0,0,0,35,0.0299435556718607
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0136184296423575,0,10.6,10,47,0,0,0,35,0.0390388997296513
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0223217415842066,0,10.6,10,47,0,0,0,35,0.0635461458900295
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00174372259161906,0,10.6,10,47,0,0,0,35,0.00506509174849222
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0152671107421057,0,10.6,10,47,0,0,0,35,0.0435714472892941
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000814212521567856,0,10.6,10,47,0,0,0,35,0.00232795389628909
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0184045648316478,0,10.6,10,47,0,0,0,35,0.0530618329300297
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00278715140280615,0,10.6,10,47,0,0,0,35,0.00791128289268994
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0055593170916112,0,10.6,10,47,0,0,0,35,0.015674682173481
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00501726899359756,0,10.6,10,47,0,0,0,35,0.014242962264448
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00144448779829148,0,10.6,10,47,0,0,0,35,0.00412353013618788
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00883097920346923,0,10.6,10,47,0,0,0,35,0.0252236500378485
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00804150854715474,0,10.6,10,47,0,0,0,35,0.0226021097890179
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00931310585706346,0,10.6,10,47,0,0,0,35,0.0268432299112429
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0118681539599151,0,10.6,10,47,0,0,0,35,0.0335959007315746
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0111888645907721,0,10.6,10,47,0,0,0,35,0.0319609561481894
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0135274220446895,0,10.6,10,47,0,0,0,35,0.0384596255149422
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00609486057651315,0,10.6,10,47,0,0,0,35,0.0173464803670319
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0131297659141175,0,10.6,10,47,0,0,0,35,0.0374194311346957
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0199274890645407,0,10.6,10,47,0,0,0,35,0.0584741620288065
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0198702792099974,0,10.6,10,47,0,0,0,35,0.0563120500745533
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00710942174895645,0,10.6,10,47,0,0,0,35,0.0199742918965621
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0128919166850936,0,10.6,10,47,0,0,0,35,0.0366634505224575
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00366222605973604,0,10.6,10,47,0,0,0,35,0.0105360728991023
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00804517472527719,0,10.6,10,47,0,0,0,35,0.0228452822915807
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0121176683253802,0,10.6,10,47,0,0,0,35,0.0348127936501031
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00313815283585988,0,10.6,10,47,0,0,0,35,0.00896577659639941
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0129676982394436,0,10.6,10,47,0,0,0,35,0.0376143636219922
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0175822205570826,0,10.6,10,47,0,0,0,35,0.049782479768552
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0149292815378116,0,10.6,10,47,0,0,0,35,0.04289515985807
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00791300048246528,0,10.6,10,47,0,0,0,35,0.0223722514900873
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00503046966843348,0,10.6,10,47,0,0,0,35,0.0141712702729602
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0125009938496251,0,10.6,10,47,0,0,0,35,0.0357813155741237
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00733164997652327,0,10.6,10,47,0,0,0,35,0.0206733810360993
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0112352160392717,0,10.6,10,47,0,0,0,35,0.0319417623509664
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00319059573077715,0,10.6,10,47,0,0,0,35,0.00914866640705859
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0211559399143977,0,10.6,10,47,0,0,0,35,0.0605102324580993
"110.1111/1365-2656.12827","2018","Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0136663323878696,0,10.6,10,47,0,0,0,35,0.0400020091552124
