"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0211120798516823
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0182376805417832
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0176160615460287
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0171715908112673
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00828094592593018
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00710200471562185
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0068731403562215
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00796342064614543
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0338170352114607
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0291869090669464
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0404216311799028
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0370812628819764
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00308157129841302
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00665304665819151
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00699087443160246
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.00917836182592069
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0253203127535913
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0253322192876217
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0261707979019581
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0313298309827515
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0434099518553794
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.042992786848118
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0436957381972863
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0411528996610804
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0403993651618894
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0393760394109381
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0448039278600018
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0472706176912672
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0483208123017034
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0320084230360594
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0463491093027771
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0462244025881276
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0432864083163111
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0423180394808208
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0561461156612301
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0628771320792087
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0617803938708731
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0649459857394585
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0640255006257707
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.0644641977962815
"https://doi.org/10.1002/ecs2.3546","2021","Mammals","Vulpes lagopus","Europe","sea ice","C","all","denning survival",0.061052082809026
