"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0541397268667421,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0010644808772257,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.00105365230697263,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",5.30975464817266e-08,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.249388930874616,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.249367542037723,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.181445912366084,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0226847387210852,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.317084108391422,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.154493004537455,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.306595541440683,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.348774941762403,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.307090986500149,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.354776980282171,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.307810577120501,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0595506298532655,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.318357493532466,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.333661103202199,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.312223206000623,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.335676406951446,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0319784214138275,0,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.0239168448246582,1,2,5,17,1,1,0,28
"Branta leucopsis","10.1111/gcb.14773",2019,"Birds","Europe","Temperature","C","all","all",0.313032910740771,0,2,5,17,1,1,0,28
