"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0193744268928974,0,2,5,17,1,1,0,28,0.0750751060245
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.317485837636971,0,2,5,17,1,1,0,28,4.19573592690677
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0470050344584525,0,2,5,17,1,1,0,28,0.162266931688711
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0191253248463271,0,2,5,17,1,1,0,28,0.064041058961986
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.00844311251273494,1,2,5,17,1,1,0,28,0.0289999864306636
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.320681664039459,1,2,5,17,1,1,0,28,4.75508236244952
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.216986738208578,1,2,5,17,1,1,0,28,1.0747817041978
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0380431557461068,1,2,5,17,1,1,0,28,0.134898267264239
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.014759873951286,0,2,5,17,1,1,0,28,0.0592813253526285
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.325507932071098,0,2,5,17,1,1,0,28,11.5235664865788
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0514755158329887,0,2,5,17,1,1,0,28,0.184368121601904
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.059232366706841,0,2,5,17,1,1,0,28,0.210705945295156
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0258154546146912,1,2,5,17,1,1,0,28,0.0928889963830498
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.337349486712549,1,2,5,17,1,1,0,28,11.5577543060626
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.323423019303468,1,2,5,17,1,1,0,28,5.6273882914236
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.109572825337953,1,2,5,17,1,1,0,28,0.427036619774982
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0281147502026176,0,2,5,17,1,1,0,28,0.104114322126847
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.260362299691943,0,2,5,17,1,1,0,28,1.6075690438124
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0636031473859683,0,2,5,17,1,1,0,28,0.209755843244467
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.063087114659006,0,2,5,17,1,1,0,28,0.206707761790677
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0411711832561373,1,2,5,17,1,1,0,28,0.13496336578882
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.26724212649988,1,2,5,17,1,1,0,28,1.58166835494368
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.195738497415077,1,2,5,17,1,1,0,28,0.772546644235941
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0554288762058872,1,2,5,17,1,1,0,28,0.199701419084509
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.00893086465894007,0,2,5,17,1,1,0,28,0.0356938114680863
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0838199892063389,0,2,5,17,1,1,0,28,0.310967461994707
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0236190834999005,0,2,5,17,1,1,0,28,0.0840969860725134
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0357016659667337,0,2,5,17,1,1,0,28,0.125031215659127
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0666099639153115,1,2,5,17,1,1,0,28,0.252818935444226
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0923946081004502,1,2,5,17,1,1,0,28,0.35017453368678
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0891303238540154,1,2,5,17,1,1,0,28,0.311984727780007
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.080763736072851,1,2,5,17,1,1,0,28,0.282694027149464
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.021033830900204,0,2,5,17,1,1,0,28,0.083172319383277
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.290425554214757,0,2,5,17,1,1,0,28,2.72947137986182
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0394973591069646,0,2,5,17,1,1,0,28,0.138986627942931
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0722936602655115,0,2,5,17,1,1,0,28,0.249149259039933
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0292199069899735,1,2,5,17,1,1,0,28,0.102740591368632
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.324160295004202,1,2,5,17,1,1,0,28,3.4315350237652
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.165608461056054,1,2,5,17,1,1,0,28,0.685493834834022
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0668861119438033,1,2,5,17,1,1,0,28,0.240359222903548
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.00372088548912893,0,2,5,17,1,1,0,28,0.0144160208955772
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.317691998648557,0,2,5,17,1,1,0,28,5.87410577126774
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0539743006246914,0,2,5,17,1,1,0,28,0.186289952445325
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0321911511533791,0,2,5,17,1,1,0,28,0.108759285768799
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.0656420587517135,1,2,5,17,1,1,0,28,0.226376578190456
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Temperature","C","all","all",0.316308960765137,1,2,5,17,1,1,0,28,5.74803483483884
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.34388113607711,1,2,5,17,1,1,0,28,3.02675176112178
"10.1111/gcb.14773",2019,"Birds","Branta leucopsis","Europe","Rain","C","all","all",0.0748248779345377,1,2,5,17,1,1,0,28,0.274580208383354
