"population","focal_cov","focal_min_max","other_mean_obs","projection","lambda","focal_full","scenario","focal_scenario","other_scenario"
"SierraCarboneraY5","summerT","min","mean",1,1.03571587912171,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraRetinY5","summerT","min","mean",1,0.969587414572813,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"Vertedero","summerT","min","mean",1,0.96604618654238,"Next summer mean max.
daily temperature","Focal covariate = Next summer mean max.
daily temperature (min value) 
Other covariates = mean value","Next summer mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","prevwinterT","min","mean",1,1.03219098086879,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraRetinY5","prevwinterT","min","mean",1,1.06736767198495,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"Vertedero","prevwinterT","min","mean",1,1.00248863453315,"Previous winter mean max.
daily temperature","Focal covariate = Previous winter mean max.
daily temperature (min value) 
Other covariates = mean value","Previous winter mean max.
daily temperature = min value","mean value"
"SierraCarboneraY5","fallR","min","mean",1,0.990490966777075,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","fallR","min","mean",1,1.03732691463103,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"Vertedero","fallR","min","mean",1,Inf,"Next fall cumulative
rainfall","Focal covariate = Next fall cumulative
rainfall (min value) 
Other covariates = mean value","Next fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","prevfallR","min","mean",1,0.97954604818904,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraRetinY5","prevfallR","min","mean",1,1.0650202826058,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"Vertedero","prevfallR","min","mean",1,Inf,"Previous fall cumulative
rainfall","Focal covariate = Previous fall cumulative
rainfall (min value) 
Other covariates = mean value","Previous fall cumulative
rainfall = min value","mean value"
"SierraCarboneraY5","dens","min","mean",1,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraRetinY5","dens","min","mean",1,1.01847396588253,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"Vertedero","dens","min","mean",1,Inf,"Aboveground density of
large individuals","Focal covariate = Aboveground density of
large individuals (min value) 
Other covariates = mean value","Aboveground density of
large individuals = min value","mean value"
"SierraCarboneraY5","size","min","mean",1,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"SierraRetinY5","size","min","mean",1,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
"Vertedero","size","min","mean",1,Inf,"Size","Focal covariate = Size (min value) 
Other covariates = mean value","Size = min value","mean value"
