"mean.winter.temp.std" "Nlocal" "year"	"N" 		
 -1.93128818380629 14.785 1979		33.3905 	
 -1.2206713744658 21.7775 1980		32.741 		
 0.067321592463836 28.4805 1981		49.4055 	
-1.70922043088739 19.002 1982		28.006 		
 0.511457098301642 21.244 1983		55.136 		
 0.0229080418800553 35.3935 1984	65.3795 	
 -0.954190070963119 27.919 1985		51.667 		
 -1.66480688030361 23.828 1986		40.741 		
 -0.954190070963119 22.3325 1987	5.259 		
 0.955592604139449 50.9015 1988		72.9015 	
 2.02151781815018 61.811 1989		95.8915 	
 1.62179586289616 57.877 1990		97.985 		
 0.289389345382739 55.6975 1991		107.4865 	
 1.48855521114482 79.1045 1992		115.9805 	
 1.04441970530701 78.214 1993		117.78 		
 -0.598881666292874 29.571 1994		51.306 		
 0.955592604139449 38.4495 1995		86.231 		
 -1.2206713744658 25.1415 1996		38.0755 	
 -0.243573261622629 25.623 1997		54.4185 	
 1.17766035705835 40.462 1998		76.087 		
 0.511457098301642 62.3695 1999		93.2425 	
 0.955592604139449 63.3995 2000		117.353 	
 0.111735143047616 54.0215 2001		104.7165 	
 0.644697750052984 59.5995 2002		88.6155 	
 -0.465641014541532 4.83 2003		22.675 		
 0.422629997134081 9.832 2004		44.803 		
 1.17766035705835 31.987 2005		70.882 		
 0.3782164465503 30.91 2006		71.789 		
 1.44414166056104 49.573 2007		83.4775 	
 1.35531455939347 62.119 2008		102.993 	
 0.067321592463836 56.9225 2009		96.9495 	
 -1.62039332971983 14.8885 2010		27.8605 	
 -1.30949847563336 9.45 2011		20.425 		
 0.555870648885423 12.7275 2012		30.7495		
 -1.17625782388202 14.636 2013		33.6050		





















