"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.220319280303192,0.192839572599202
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.301099127213102,0.245907887337941
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.366616902658322,0.281350058282521
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.26139687728879,0.211475577833835
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.276042547236192,0.147943909151892
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.32901071587326,0.195240968644086
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.324936721187202,0.265102710444319
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.19180117152235,0.0674206742840987
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.270450699587567,0.183653364098187
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.27681279333175,0.200757131289689
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.263991194111687,0.167489628684332
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.22628779754428,0.190173527710382
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.188304856324573,0.088739679371194
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.286985130174171,0.219765304151217
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.272085073543676,0.14717241387014
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.259566754858361,0.168219389042212
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.18759209205824,0.00714025495646886
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.233818607748342,0.156848600766436
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.289392619997986,0.201252748288597
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.318374132546694,0.190399088404284
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.236182989493678,0.186366615675459
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.266135942822133,0.2001086669128
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.255729858015384,0.15238211310025
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.320524295464783,0.230598008480172
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.275968299252094,0.223315056540915
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.284440701835109,0.243740152492596
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.330542478698845,0.256889483323797
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.267644130186804,0.189050970064065
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.243637266107592,0.197816050077937
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.315816909182513,0.265201649648755
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.332398056580363,0.227299175069457
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.329029785481524,0.22587047901188
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.289424782914803,0.254746609137116
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.222568800941936,0.139873545185836
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.266996705478939,0.2135359698562
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.319416970980299,0.275147620402752
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.235353274698689,0.128273735509415
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.314795098369194,0.235800138366723
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.301301904168252,0.227881223448951
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.29500977271495,0.251258414448434
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.343411755022166,0.254291089219998
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.252500824542413,0.171392819981147
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.255680727821637,0.161917496891278
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.234163805572999,0.161557571356666
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.20354221155093,0.114093858142029
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.257628972768999,0.220022904970632
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.340876616279187,0.257455125520214
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.201972586585436,0.127166289146071
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.23729113140821,0.1737018503248
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.282897161288583,0.231293235954018
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.278044747599298,0.202002281765278
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.270750600810023,0.204592170200833
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.318112864998066,0.282745208349724
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.296184631538219,0.212056091474653
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.332671252239119,0.288930070987528
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temp","C","all","all",0.313664000419843,0.241334362933664
