"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00331442060593091
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00422733303996567
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00901888894975797
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00624188232354152
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00392541588900702
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00825815141924434
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00882783957383708
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00112582349116386
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00440837509350769
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00490172613483782
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00522162380101705
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00233466766011553
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00197434754232488
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.0058292253389706
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00308743492337483
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00349879343119465
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.000219224474594235
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00186833399249546
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00579981636310628
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00554069895681229
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00230349480557862
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00421874775274158
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00395854858026995
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.0068999692402299
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00334810222257162
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00635135751123127
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","1","reproduction",0.00740694246208729
