"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.220319280303192,0,1,8,44,1,0,0,35,0.991138276454463
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.301099127213102,0,1,8,44,1,0,0,35,1.19733989294785
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.366616902658324,0,1,8,44,1,0,0,35,1.33154349605839
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.26139687728879,0,1,8,44,1,0,0,35,1.09778524214344
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.276042547236192,0,1,8,44,1,0,0,35,1.11179026313569
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.32901071587326,0,1,8,44,1,0,0,35,1.20877068924931
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.324936721187203,0,1,8,44,1,0,0,35,1.24683271831092
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.19180117152235,0,1,8,44,1,0,0,35,0.892472405038987
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.270450699587567,0,1,8,44,1,0,0,35,1.11859671550172
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.27681279333175,0,1,8,44,1,0,0,35,1.13246938534983
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.263991194111687,0,1,8,44,1,0,0,35,1.09507009033619
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.22628779754428,0,1,8,44,1,0,0,35,1.00738614077373
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.188304856324573,0,1,8,44,1,0,0,35,0.882036082936456
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.286985130174171,0,1,8,44,1,0,0,35,1.15822001644324
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.272085073543676,0,1,8,44,1,0,0,35,1.12126173913865
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.259566754858361,0,1,8,44,1,0,0,35,1.08998729020733
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.18759209205824,0,1,8,44,1,0,0,35,0.822435113076671
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.233818607748342,0,1,8,44,1,0,0,35,1.02583947784459
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.289392619997986,0,1,8,44,1,0,0,35,1.15512889026724
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.318374132546694,0,1,8,44,1,0,0,35,1.22303461868637
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.236182989493678,0,1,8,44,1,0,0,35,1.03370509488132
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.266135942822133,0,1,8,44,1,0,0,35,1.11050959497704
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.255729858015384,0,1,8,44,1,0,0,35,1.07306423279465
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.320524295464783,0,1,8,44,1,0,0,35,1.23735594916277
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.275968299252094,0,1,8,44,1,0,0,35,1.13756084994145
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.284440701835109,0,1,8,44,1,0,0,35,1.15827416140133
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.330542478698845,0,1,8,44,1,0,0,35,1.26021580096999
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.267644130186804,0,1,8,44,1,0,0,35,1.10569053609646
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.243637266107592,0,1,8,44,1,0,0,35,1.05342658665207
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.315816909182513,0,1,8,44,1,0,0,35,1.2288510929896
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.332398056580363,0,1,8,44,1,0,0,35,1.25821320149282
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.329029785481524,0,1,8,44,1,0,0,35,1.2459157192084
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.289424782914803,0,1,8,44,1,0,0,35,1.16711503773264
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.222568800941936,0,1,8,44,1,0,0,35,0.991507235440243
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.266996705478939,0,1,8,44,1,0,0,35,1.11425669522985
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.319416970980299,0,1,8,44,1,0,0,35,1.23778358914392
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.235353274698689,0,1,8,44,1,0,0,35,1.01402484157674
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.314795098369194,0,1,8,44,1,0,0,35,1.21794848888824
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.301301904168252,0,1,8,44,1,0,0,35,1.19446037708978
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.29500977271495,0,1,8,44,1,0,0,35,1.18146476513465
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.343411755022166,0,1,8,44,1,0,0,35,1.28156546383178
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.252500824542413,0,1,8,44,1,0,0,35,1.07089460237332
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.255680727821637,0,1,8,44,1,0,0,35,1.0797416027927
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.234163805572999,0,1,8,44,1,0,0,35,1.02651488645618
"10.1126/sciadv.1602298","2017","Birds","Cinclus cinclus","Europe","temperature","C","all","all",0.20354221155093,0,1,8,44,1,0,0,35,0.934830855141568
