"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00331442060593091,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00422733303996545,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00901888894975785,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00624188232354137,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00392541588900727,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00825815141924409,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00882783957383714,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00112582349116371,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00440837509350763,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00490172613483789,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00522162380101711,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0023346676601155,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00197434754232482,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00582922533897076,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00308743492337477,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0034987934311948,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.000219224474593861,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00186833399249537,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0057998163631061,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00554069895681211,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00230349480557868,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00421874775274183,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0039585485802702,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00689996924023008,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00334810222257162,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00635135751123124,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00740694246208729,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0058890527745933,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00329037244589188,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00616901261320529,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00690665752929556,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00891886443449027,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00989045117833424,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00244432468998788,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0040401421449884,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00843756693698615,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00256001796275115,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0109032483831015,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00683276969745702,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00589164955654915,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0116828904503225,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00314279755085244,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00366106709323665,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00234231449356749,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00175798290480584,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00685537677682713,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00983094151932792,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00197322523652569,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00140553544452883,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00717890559876161,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0043205725697203,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0047942178753466,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00867633295394262,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00666862595509988,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00731081335646688,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00838428620687156,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00443460069627662,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00319139465592763,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0170991770323565,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00515547484697609,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00707696252664851,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00305266313675108,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0101849395882777,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00817138587369732,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00378386827447809,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00436632302702761,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00297318544936857,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0043083604272842,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00508893861797571,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00424293034349355,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00288082674310335,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00748357687937416,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0147084882367277,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0045475103974449,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00153217912002286,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00902323036413987,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00906283520692294,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00254934410547096,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00436056763639153,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00291261810993444,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00420561618862741,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00940279471057402,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0138300112461562,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00204469526824799,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00494745336458887,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00622241513042337,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00545706753814506,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00894968639698655,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00378358619688506,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00401192801948774,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00863828026516534,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00188524885837128,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.0119685506783434,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00715893334642268,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00455749875743901,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00443597231515232,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00478064849433432,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00288463807398321,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00313460392593555,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 1","reproduction",0.00456070416302075,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0248134730885019,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0374330703281642,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.021810388647109,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0339113316907043,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0342300125881056,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0359742436313355,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.040122170576867,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0391331455639539,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0354466146262292,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0368643191248197,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0358695222829456,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0289379183770323,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0413270863921016,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0322536605067718,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0266659119803764,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0346671161643136,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.065200599932101,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.030781875617042,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0372053388063695,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0302156914071831,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0290029864357322,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0298124044653746,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0419240446521969,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0312489752716563,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0275382797320923,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0327036556413663,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0316264436313563,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0392110750356241,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0318790673342172,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0306285448663872,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0328231148414722,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.0412376902368854,1,8,44,1,0,0,35
"10.1126/sciadv.1602298",2017,"Birds","Cinclus cinclus","Europe","temperature","C","age class 2","reproduction",0.028032431074041,1,8,44,1,0,0,35
