"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141464248119473,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141462961596448,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141473147064308,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141468757799626,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14146143867112,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141459225545638,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141459098837487,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141470921156005,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141468086400341,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141432696664031,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141467746278073,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141463074894818,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141461785640206,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455419037721,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141458997758453,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452617644972,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452693516207,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141464997334199,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452300997458,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455574848411,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14146869851932,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141446964425371,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141457158966247,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141448666185751,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141471421272997,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141439293519586,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452271949693,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141429601432746,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141450749157829,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141478679879809,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141452368434,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141464728294876,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141444895258321,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141461066845324,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141462146570023,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141471009239214,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14147980561429,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141479588321683,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455721323158,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145367282879,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141456473336764,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141450243773488,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141446232382693,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141460793208707,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141458328358608,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14146248737798,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141445497059051,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141450006531058,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141461974696807,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141467278239795,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14143795836381,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141453972197173,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141454762777521,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141467045473114,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141450299184362,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141467733227588,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141455548709507,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141448230518205,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141466444602315,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141445814911442,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141438625568442,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141459751303049,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.1414747430292,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141469938115289,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141458933900625,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141449202450369,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141456854702446,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141444598794494,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141449493911774,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145705060424,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141459943273989,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141449374128361,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.14145457241079,0,2,5,45,0,0
"Dracocephalum austriacum","Evers et al. in Prep",2024,"Plants","Europe","PET","C","all","all",0.141477811496594,0,2,5,45,0,0
