"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00312745568790553,0,3,8,42,0,0,0,29,0.0120644479290885
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0146777514568413,0,3,8,42,0,0,0,29,0.052636888344424
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0210256273827021,0,3,8,42,0,0,0,29,0.077783709569241
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.012955558943079,0,3,8,42,0,0,0,29,0.0496524618314832
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0162190858833187,0,3,8,42,0,0,0,29,0.0583760293280357
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0192718345493018,0,3,8,42,0,0,0,29,0.070181434329301
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0489913112336111,0,3,8,42,0,0,0,29,0.174898919915
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0167431305348047,0,3,8,42,0,0,0,29,0.055130796970109
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00519684932015086,0,3,8,42,0,0,0,29,0.0184719996509636
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0179315030881291,0,3,8,42,0,0,0,29,0.0643597147061463
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00204925091888993,0,3,8,42,0,0,0,29,0.00770351734349629
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0408994103634514,0,3,8,42,0,0,0,29,0.149217615887438
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00548961958172894,0,3,8,42,0,0,0,29,0.018022511938375
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00227531191986892,0,3,8,42,0,0,0,29,0.00887123750451578
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0085597283602487,0,3,8,42,0,0,0,29,0.0311383375742063
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0289361635556038,0,3,8,42,0,0,0,29,0.107415154410942
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00429015486527999,0,3,8,42,0,0,0,29,0.0161116069550894
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00129532508401763,0,3,8,42,0,0,0,29,0.00478791834485305
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00721239901578702,0,3,8,42,0,0,0,29,0.0278566395136124
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00097258048218637,0,3,8,42,0,0,0,29,0.00362115497326149
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0398120302819753,0,3,8,42,0,0,0,29,0.140242183527173
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0275804164787194,0,3,8,42,0,0,0,29,0.0949114282924992
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00675168335840591,0,3,8,42,0,0,0,29,0.0251174995543722
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00139346112585945,0,3,8,42,0,0,0,29,0.00520999133589955
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0167075699850105,0,3,8,42,0,0,0,29,0.0621978793484173
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.00372870798142413,0,3,8,42,0,0,0,29,0.0141822454168871
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0116090673419547,0,3,8,42,0,0,0,29,0.0433404639569301
"Aptenodytes forsteri","10.1111/j.1365-2486.2012.02744.x",2012,"Birds","Antarctic","Temperature","C","all","all",0.0442327481425658,0,3,8,42,0,0,0,29,0.14776138193857
