species,study.doi,year.of.publication,group,continent,driver,driver.type,stage.age,vital.rates,sens,gen.time,n.vr,n.pam,dens,biotic_interactions
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001213129,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001613994,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001670217,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001628156,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001002729,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000560338,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000831944,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00068438,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001876087,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001288291,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00157898,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001453109,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001435961,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000820379,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001725429,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.00157981,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001108852,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001532569,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001544931,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001147171,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000650751,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001500913,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001736191,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001594505,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001564831,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001699176,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001478261,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001166379,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001565216,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001326149,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001177135,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001289646,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001020629,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001015276,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.00142838,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001546715,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.002208301,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001599979,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001104695,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.001000299,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001485177,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001641361,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.002051495,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001431811,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001432586,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.002227552,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.000929411,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.000391769,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,calves,survival,0.000586417,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,juveniles,survival,0.001703379,6,3,12,1,0
Giraffa camelopardalis,10.1111/gcb.16970,2023,Mammals,Africa,Rainfall,C,adults,survival,0.001422138,6,3,12,1,0
