"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.300665249999677,0,3,7,35,0,0,0,5,0.463279780030882
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.456872865546087,0,3,7,35,0,0,0,5,0.635461594024782
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.241577727542835,0,3,7,35,0,0,0,5,0.250473304969479
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.347445501981404,1,3,7,35,0,0,0,5,0.535521429726677
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.663037936635476,1,3,7,35,0,0,0,5,0.912832146826184
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.680404758493329,1,3,7,35,0,0,0,5,0.968610077662901
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.0361163210787974,0,3,7,35,0,0,0,5,0.0583449843248866
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.405639277737058,0,3,7,35,0,0,0,5,0.589884484662958
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.117989017562893,0,3,7,35,0,0,0,5,0.146073787115371
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.174921016260432,1,3,7,35,0,0,0,5,0.281125155804479
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.755997858602435,1,3,7,35,0,0,0,5,1.03191775068881
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.394841221961131,1,3,7,35,0,0,0,5,0.497014866308424
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.109778639731776,0,3,7,35,0,0,0,5,0.190924194976619
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.339143563997462,0,3,7,35,0,0,0,5,0.438043871082171
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.0222677211237937,0,3,7,35,0,0,0,5,0.027397223021004
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.420786045371625,1,3,7,35,0,0,0,5,0.630694196094281
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Temperature","C","all","all",0.310888178004064,1,3,7,35,0,0,0,5,0.459709249230482
"Lavandula stoechas","Sanchez Mejia in prep",NA,"Plants","Europe","Rain","C","all","all",0.406227589190347,1,3,7,35,0,0,0,5,0.538112008686792
