"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",8.19675320893427e-06,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.2451585963434e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.07709723965602e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.61008592269929e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.89477392303124e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.47010026464247e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.64410340353268e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.80750436168043e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.46724518515909e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",2.340954518426e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.57983966126771e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",5.99392730056845e-06,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",9.83452723839078e-06,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.10749705892817e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.19393508276294e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
"Spheniscus magellanicus","10.1073/pnas.2209821120","2022","Birds","South America","Rain","C","all","all",1.15752611842167e-05,0,2.8,3,12,0,0,1,37,4.19066625181686e-05
