"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0938724591547839,0,2,7,38,0,0,0,40,0.420927420764001
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.168697552870612,0,2,7,38,0,0,0,40,0.79724754283472
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.139567451884641,0,2,7,38,0,0,0,40,0.718220490470122
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0944839282581251,0,2,7,38,0,0,0,40,0.402202852878114
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.136615312955605,0,2,7,38,0,0,0,40,0.652493694642256
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0910605674511099,0,2,7,38,0,0,0,40,0.384823436623221
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.146908130957132,0,2,7,38,0,0,0,40,0.706077087381979
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.142408158638849,0,2,7,38,0,0,0,40,0.627871783908014
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0517188074168675,0,2,7,38,0,0,0,40,0.208970840764235
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.121052020128578,0,2,7,38,0,0,0,40,0.533343706591001
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0704669441815324,0,2,7,38,0,0,0,40,0.283186873089139
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0556224975637845,0,2,7,38,0,0,0,40,0.240204913657133
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.129887558315756,0,2,7,38,0,0,0,40,0.584481543565241
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.153804497199052,0,2,7,38,0,0,0,40,0.731464319863145
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.129550805656525,0,2,7,38,0,0,0,40,0.59862334155052
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.089632029321679,0,2,7,38,0,0,0,40,0.402932324714801
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0892530130039093,0,2,7,38,0,0,0,40,0.42212834662782
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.0713503108624535,0,2,7,38,0,0,0,40,0.299191388736836
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.150894090512911,0,2,7,38,0,0,0,40,0.69656914463317
"10.1111/ele.13459","2020","Mammals","Marmota flaviventer","North America","Q","C","all","all",0.146217061301906,0,2,7,38,0,0,0,40,0.70324549809574
