"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.186876368542606,0.110764031271073
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.425284629774591,0.159313149664141
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.244477088652979,0.180534693606302
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0172578035362469,0.122688736289687
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.216188876854608,0.0528228624191274
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0700037720639264,0.233696319554746
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.248984353924935,0.206334050230173
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.352067791764212,0.277431499040455
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.172988319076886,0.235693230743984
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.387480429648655,0.229074422176987
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0448748004021318,0.266882950067889
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.142040624693679,0.0680153789516994
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.19498220998111,0.128788344633434
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.313360728230672,0.0697105368622634
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.225079424441064,0.141351032380357
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0991523664350205,0.0111658455594846
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.395071580805307,0.155906507254636
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0343620183399372,0.016243503808481
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.131543874688591,0.150207036138161
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.211553077128258,0.14802169797017
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.167677369620497,0.144408948258594
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.300397041171047,0.0724391851083214
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.30276229107996,0.207845419536828
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.457359357612527,0.316666290734051
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.0738106757639838,0.0719083081436343
"10.1126/science.aau5905","2019","Mammals","Suricata suricatta","Africa","rain","A","all","all",0.130521131132478,0.139416029434997
