"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.081036949231758,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.0110414736421206,2,28,1422,1,0,0,20
"10.1126/science.aau5905",2019,"Mammals","Suricata suricatta","Africa","density","D","dominant adult","growth",0.199631324114701,2,28,1422,1,0,0,20
