"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0729180729550535,0.210550197220493
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000178992361064314,0.0269575367906508
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0360795445908676,0.0334627875764757
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.131318365839061,0.0286051487740177
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0119982192886462,0.00404911465369921
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0545044265743042,0.0817425955095155
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0882065667431541,0.0967663515173056
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.060001636860876,0.00520235708875068
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0076963735631627,0.085120404905753
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",4.79402985694834e-05,3.01809707889553e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00390615332808571,0.247030590156229
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",1.80584295674873e-06,0.0061522265573714
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.258235236497205,1.39347610832717e-06
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.116396330102725,0.143565757061934
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.019356836001882,0.100539978015356
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000654127221456175,0.0453901340079607
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.246223774309371,0.000247215394041253
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0145875445795174,0.0390045881614181
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00590272452862653,0.0593938503026736
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000163548142855952,5.02417297504809e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00111371160966921,0.000105982303016904
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0714561786537197,0.00372286965622154
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.506771523383105,0.0125187707528226
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.132752745706521,0.157247670943305
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0380829135261857,0.0637479895548035
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",2.43848301927759e-06,0.00903894571796333
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",5.02767921311087e-06,0.0265663601017774
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",2.21222553180913e-07,9.5164666587367e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00017499466662497,5.67307199385305e-07
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000976750016539241,0.196060111094829
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000504623034502143,0.000570647567490555
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",1.18632501182156e-07,0.000640922674883301
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.132745277411441,1.1048535638684e-07
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0413659949765616,0.200789243638571
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.117899412185583,0.0420156132652128
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00455019346179759,0.449408715452719
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000409374977499581,0.000545218153123303
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",8.2131296939607e-05,0.0402101450491994
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0522880062189942,0.0577020491255949
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.449836585256087,8.99062518220977e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",9.32402618213272e-06,0.0472896860947654
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00505965899884354,0.337928117562025
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0229830025280177,5.68503460646965e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.445854167670845,0.00382095490006157
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000537276423735033,0.0023142444199498
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0404829560534538,0.185157021463146
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.113564382970806,0.00151524105201195
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.112369103806197,0.0240258123491339
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",1.11356107036167e-05,0.170784632510447
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0130389211037099,0.000143714114365174
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00149524907251878,0.000863779446218343
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0532297879186666,0.0174789828707863
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.012883842352404,0.000951176183547102
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00768472859822304,0.0400172005032277
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0485613209246653,0.00525174604197107
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",7.60347692761305e-06,0.00168539641689714
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.430272091558218,0.0280471242131348
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0208691749400618,9.26972562349421e-07
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0639176172385933,0.0880770773718772
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.000210515051402214,0.0326653159787684
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00427500726136922,0.209869280141559
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.126758257829968,0.00152916374372627
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00142074972150993,0.00044456145600902
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",1.11172282747471e-05,0.059291061151519
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0765303901218546,0.00079537021139604
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.152078792101852,0.000825556346088749
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.0380953610173767,0.2533686329516
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","A","all","all",0.00961753581036169,0.103734930782467
