"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
"10.1073/pnas.2214244120",2023,"Mammals","Microcebus murinus","Africa","rain","C","male juvenile","survival",0,1,5,27,1,0
