"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0625039184462408,0,1,5,27,1,0,0,26,0.194018935005217
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",2.7586703270172e-05,0,1,5,27,1,0,0,26,9.44268739292736e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",2.9703412806692e-06,0,1,5,27,1,0,0,26,1.01668450710494e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00724250536830769,0,1,5,27,1,0,0,26,0.0255016849066132
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0022005979060985,0,1,5,27,1,0,0,26,0.00785020392044359
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.000288760447690768,0,1,5,27,1,0,0,26,2.14546012116062
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",1.35771470373489e-05,0,1,5,27,1,0,0,26,4.64720494260043e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00238206341635342,0,1,5,27,1,0,0,26,0.00827100725655357
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0184875073137153,0,1,5,27,1,0,0,26,0.938565413979283
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0343144816756163,0,1,5,27,1,0,0,26,1.32478042749161
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00576663488737593,0,1,5,27,1,0,0,26,0.01188728454273
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0360795445908676,0,1,5,27,1,0,0,26,0.142909971121326
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",5.00144288607819e-05,0,1,5,27,1,0,0,26,0.000169154605159822
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00378026025701536,0,1,5,27,1,0,0,26,0.0136450632783205
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0521006259434952,0,1,5,27,1,0,0,26,0.105199928532694
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",4.37499894508303e-05,0,1,5,27,1,0,0,26,0.000149762270442966
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0710849744294745,0,1,5,27,1,0,0,26,1.07450028535881
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0119982192886462,0,1,5,27,1,0,0,26,0.0458024570987362
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0363813081343419,0,1,5,27,1,0,0,26,0.178767195100309
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.000177102895445542,0,1,5,27,1,0,0,26,0.000491930682695006
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0531177864087698,0,1,5,27,1,0,0,26,0.618036912870753
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",6.33424088763397e-05,0,1,5,27,1,0,0,26,0.000215462360266836
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",6.97158914824941e-05,0,1,5,27,1,0,0,26,0.000241060195694434
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.000529000349966747,0,1,5,27,1,0,0,26,1.5044639944498
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",6.69404138070618e-07,0,1,5,27,1,0,0,26,0.000344002441279683
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",3.08660635313791e-07,0,1,5,27,1,0,0,26,1.05645300767888e-06
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.000726026688913868,0,1,5,27,1,0,0,26,0.00249023505256539
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",1.3134314670872e-06,0,1,5,27,1,0,0,26,4.49558055478786e-06
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.140987810926418,0,1,5,27,1,0,0,26,0.364635218075421
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0147771232583013,0,1,5,27,1,0,0,26,0.108947395491212
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",2.41562676687904e-06,0,1,5,27,1,0,0,26,0.00325049089116288
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0600039556289562,0,1,5,27,1,0,0,26,0.245306691758435
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00816149386077628,0,1,5,27,1,0,0,26,0.0284791478726573
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0016014791740899,0,1,5,27,1,0,0,26,0.00410012981201344
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00083688913901892,0,1,5,27,1,0,0,26,0.00287752357773211
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0034021423326403,0,1,5,27,1,0,0,26,0.601520478508481
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0804494035319266,0,1,5,27,1,0,0,26,0.432314555620257
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",4.79402985694834e-05,0,1,5,27,1,0,0,26,0.000164117409151298
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.158124383168981,0,1,5,27,1,0,0,26,0.365956910803292
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0120938114893716,0,1,5,27,1,0,0,26,0.0141499350552998
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.123565297465532,0,1,5,27,1,0,0,26,0.839084946594291
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0270111980166137,0,1,5,27,1,0,0,26,0.098100964046822
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0122750172969572,0,1,5,27,1,0,0,26,2.08730883904657
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00165683824642416,0,1,5,27,1,0,0,26,0.00575531822510931
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00119341957181867,0,1,5,27,1,0,0,26,0.0040965843267694
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.000334649449908719,0,1,5,27,1,0,0,26,0.00115992514991784
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00349042671518569,0,1,5,27,1,0,0,26,0.0118647327433554
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00190261957110797,0,1,5,27,1,0,0,26,0.00648782043083274
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",1.60040890696405e-05,0,1,5,27,1,0,0,26,4.88794333293658e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.012176539651547,0,1,5,27,1,0,0,26,0.0925739789514616
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0145718212062424,0,1,5,27,1,0,0,26,0.0829784667384956
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",3.84425314639705e-06,0,1,5,27,1,0,0,26,1.31579384310227e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0469650452671058,0,1,5,27,1,0,0,26,0.224799867006799
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00330615875237693,0,1,5,27,1,0,0,26,0.0114411806952559
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0454073251754366,0,1,5,27,1,0,0,26,0.387754276915938
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",1.80584295674873e-06,0,1,5,27,1,0,0,26,6.18089450929115e-06
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0688577035684326,0,1,5,27,1,0,0,26,0.171677170230128
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0563383372374382,0,1,5,27,1,0,0,26,0.283988075523535
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00136225068594339,0,1,5,27,1,0,0,26,0.00469188369724013
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",2.940804673729e-06,0,1,5,27,1,0,0,26,1.0065565407562e-05
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0672027150856692,0,1,5,27,1,0,0,26,0.0977535488877243
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.00793336171866956,0,1,5,27,1,0,0,26,0.398762080550634
"10.1073/pnas.2214244120","2023","Mammals","Microcebus murinus","Africa","rain","C","all","all",0.0397235258186563,0,1,5,27,1,0,0,26,0.204429486578937
