"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",7.39450327346237e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",5.85994280705111e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",6.03428350629822e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",5.48306611332383e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",4.54632423487844e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.10220957368477e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.16497918710832e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",2.9860333994157e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",2.56548543916766e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",0.000146261797508035,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.31114813738636e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.330974532978e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.77122692033606e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.52615335336313e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",5.123945417854e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",3.54952788438056e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",2.20302394503283e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.18722650453182e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.55540622065549e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.89941901057507e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",3.45981352295968e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.17000881669468e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.26856496042921e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",7.77039895285002e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",8.14813140398979e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.09151953497846e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",4.21304737871129e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",9.4905380300033e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.49773906444756e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",9.54371946354534e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",5.45332715869975e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",8.1850642823876e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",4.83495312858926e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",6.97840796353891e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",7.51770248216505e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.245809791033e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",3.73331441216735e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",1.28139700000764e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",2.95283695908433e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",2.77697978396819e-05,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",9.34323742916752e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",8.54080687683966e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",7.42775534853326e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",3.31211523913727e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",5.89000474121929e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",8.47882656728647e-06,9,3,28,0,0
"https://doi.org/10.1111/gcb.15519",2021,"Plants","Opuntia imbricata","North America","temperature","C","all","reproduction",7.47875845365746e-06,9,3,28,0,0
