"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0190863978598996,0,9,3,28,0,0,0,11,0.0819608725129971
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0215600002478453,1,9,3,28,0,0,0,11,0.0929429992410319
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0207062300266813,0,9,3,28,0,0,0,11,0.0891598496813455
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0218557641906154,1,9,3,28,0,0,0,11,0.0942835073252563
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0232752728957036,0,9,3,28,0,0,0,11,0.100671704858139
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0176097975241895,1,9,3,28,0,0,0,11,0.0757068751205943
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0183889896889385,0,9,3,28,0,0,0,11,0.0789063916929586
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0243190898837103,1,9,3,28,0,0,0,11,0.105551948307261
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.01709837585984,0,9,3,28,0,0,0,11,0.0733693188051079
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0168450606869348,1,9,3,28,0,0,0,11,0.0746371511498623
"https://doi.org/10.1111/gcb.15519","2021","Plants","Opuntia imbricata","North America","temperature","C","all","all",0.0192687775223169,0,9,3,28,0,0,0,11,0.0826382103596748
