"","plantID","Plot","year","month","day","sizeT","pflowerT","fertilityT","survival","sizeT1"
"1","T1.AD10","T1",2004,5,20,120787.95434522,1,1,1,65430.3428953963
"2","T1.AD11","T1",2004,5,20,36021.5013660606,1,1,1,24158.6511565647
"3","T1.AD14","T1",2004,5,20,411476.38098923,1,9,1,171766.578335022
"4","T1.AD15","T1",2004,5,20,96952.6908824346,1,9,1,39694.023178107
"5","T1.AD16","T1",2004,5,20,321993.612038869,1,10,1,104183.851772835
"6","T1.AD17","T1",2004,5,20,98467.7239396283,1,11,1,76608.7186054913
"7","T1.AD18","T1",2004,5,20,108131.26294207,1,6,1,64540.8794753487
"8","T1.AD19","T1",2004,5,20,110470.440472056,1,21,1,68047.0277764488
"9","T1.AD20","T1",2004,5,20,113097.335529233,1,27,1,108196.778238867
"10","T1.AD21","T1",2004,5,20,287979.326579064,1,4,1,234514.982851957
"11","T1.AD22","T1",2004,5,20,23411.4102539389,1,3,1,34311.6895643443
"12","T1.AD23","T1",2004,5,20,149628.822102726,1,14,1,190660.312903252
"13","T1.AD27","T1",2004,5,20,60821.2337734984,1,6,1,114255.797820244
"14","T1.AD28","T1",2004,5,20,90572.1162029937,1,1,1,80229.9931873761
"15","T1.AD29","T1",2004,5,20,663661.448070844,1,22,1,144213.239966713
"16","T1.AD3","T1",2004,5,20,129025.210282933,1,7,1,73872.9150029902
"17","T1.AD4","T1",2004,5,20,229012.679668735,1,18,1,108730.979889671
"18","T1.AD6","T1",2004,5,20,81023.7689311831,1,8,1,97221.2970543165
"19","T1.AD8","T1",2004,5,20,692373.510529552,1,20,1,295195.434004666
"20","T1.AD9","T1",2004,5,20,170299.454565795,1,12,1,50313.3917454039
"21","T1.LJ11","T1",2004,5,20,9162.97857297023,0,NA,1,17040.6530515405
"22","T1.LJ12","T1",2004,5,20,83249.0637274759,0,NA,1,52771.1643980623
"23","T1.LJ13","T1",2004,5,20,13136.0460822101,0,NA,1,16631.6569579513
"24","T1.LJ14","T1",2004,5,20,63400.4813420956,0,NA,1,20566.0436076439
"25","T1.LJ15","T1",2004,5,20,4502.94947014537,0,NA,1,4817.10873550435
"26","T1.LJ16","T1",2004,5,20,66987.3947543318,0,NA,1,67077.5846434286
"27","T1.LJ17","T1",2004,5,20,10348.144401537,0,NA,1,12327.8713720741
"28","T1.LJ3","T1",2004,5,20,16676.6210028058,0,NA,1,10788.4909718151
"29","T1.LJ8","T1",2004,5,20,9907.79783125881,0,NA,1,13684.7775990371
"30","T1.LJ9","T1",2004,5,20,38000.7047378221,0,NA,1,35559.6872459829
"31","T1.SJ11","T1",2004,5,20,1884.95559215388,0,NA,1,5342.93280589894
"32","T1.SJ13","T1",2004,5,20,1866.10603623234,0,NA,1,1244.07069082156
"33","T1.SJ17","T1",2004,5,20,884.881930761125,0,NA,1,750.447945126262
"34","T1.SJ2","T1",2004,5,20,12867.9635091038,0,NA,1,4325.97308399314
"35","T1.SJ20","T1",2004,5,20,3167.77259236971,0,NA,1,1496.77254989469
"36","T1.SJ3","T1",2004,5,20,8953.53906273091,0,NA,1,8554.03319694941
"37","T1.SJ4","T1",2004,5,20,21243.4495235742,0,NA,1,12971.4397171314
"38","T1.SJ5","T1",2004,5,20,602.138591938044,0,NA,1,1038.68907109313
"39","T1.SJ7","T1",2004,5,20,4154.7562843725,0,NA,1,4570.23191280975
"40","T1.SJ9","T1",2004,5,20,153.9380400259,0,NA,1,47.712938426395
"41","T2.AD1","T2",2004,5,20,233263.254529042,1,26,1,210369.159865394
"42","T2.AD11","T2",2004,5,20,49741.8836818384,1,1,1,50286.4264084606
"43","T2.AD12","T2",2004,5,20,578271.388949946,1,18,1,349302.167979586
"44","T2.AD14","T2",2004,5,20,353593.58354439,1,18,1,163388.997925449
"45","T2.AD15","T2",2004,5,20,237787.147950211,1,16,1,226685.348561048
"46","T2.AD16","T2",2004,5,20,108573.442108063,1,12,1,75259.2082112337
"47","T2.AD17","T2",2004,5,20,108120.005568395,1,13,1,56699.4642119886
"48","T2.AD18","T2",2004,5,20,120795.284728079,1,19,1,228079.626650619
"49","T2.AD19","T2",2004,5,20,73588.6663176873,1,26,1,56811.3834502727
"50","T2.AD22","T2",2004,5,20,137392.318716994,1,12,1,100731.110546846
"51","T2.AD23","T2",2004,5,20,662425.754960432,1,29,1,524097.830681291
"52","T2.AD24","T2",2004,5,20,228744.597095629,1,10,1,216388.778638907
"53","T2.AD28","T2",2004,5,20,76552.7589863493,1,1,1,97780.3041971147
"54","T2.AD29","T2",2004,5,20,153668.648455855,1,11,1,116700.676853053
"55","T2.AD3","T2",2004,5,20,89489.5757344443,1,12,1,62870.8611805779
"56","T2.AD30","T2",2004,5,20,146241.138024605,1,11,1,105472.69015897
"57","T2.AD4","T2",2004,5,20,2354636.26023616,1,18,1,315880.858133146
"58","T2.AD6","T2",2004,5,20,149443.99173494,1,13,1,64038.2246507743
"59","T2.AD7","T2",2004,5,20,321555.098064305,1,11,1,248015.126432749
"60","T2.AD9","T2",2004,5,20,91148.0748561519,1,13,1,66874.4283184964
"61","T2.LJ10","T2",2004,5,20,42114.8821170858,0,NA,1,15310.5517972699
"62","T2.LJ11","T2",2004,5,20,5387.0460027431,0,NA,1,11453.7232162128
"63","T2.LJ12","T2",2004,5,20,59227.660899965,0,NA,1,25706.6054867741
"64","T2.LJ14","T2",2004,5,20,37397.5189483329,0,NA,1,31576.147761231
"65","T2.LJ17","T2",2004,5,20,46797.1641678735,0,NA,1,53397.257633984
"66","T2.LJ2","T2",2004,5,20,25171.4875381126,0,NA,1,23283.1285539174
"67","T2.LJ5","T2",2004,5,20,66366.1448070844,0,NA,1,61575.2160103599
"68","T2.LJ6","T2",2004,5,20,62195.1569606683,0,NA,1,70657.560371888
"69","T2.LJ7","T2",2004,5,20,351121.150126014,1,3,1,237513.567589961
"70","T2.LJ9","T2",2004,5,20,39711.3019377018,0,NA,1,14547.1447824475
"71","T2.SJ1","T2",2004,5,20,5730.26500014778,0,NA,1,2835.28736986479
"72","T2.SJ10","T2",2004,5,20,565.486677646163,0,NA,1,577.267650097124
"73","T2.SJ12","T2",2004,5,20,872.315560146766,0,NA,1,1795.94380030217
"74","T2.SJ13","T2",2004,5,20,2914.35078498013,0,NA,1,1924.22550032375
"75","T2.SJ14","T2",2004,5,20,523.598775598299,0,NA,1,548.535167286168
"76","T2.SJ16","T2",2004,5,20,1194.59060652752,0,NA,1,2138.24649984955
"77","T2.SJ17","T2",2004,5,20,973.370123837238,0,NA,1,1155.90974698019
"78","T2.SJ2","T2",2004,5,20,2079.21073790084,0,NA,1,1192.82346065987
"79","T2.SJ3","T2",2004,5,20,30.6305283725005,0,NA,1,16.7551608191456
