Input,Seedlings04,Seedlings05
100,1,0
100,0,0
100,1,0
250,0,3
250,0,0
250,0,0
100,0,0
100,0,0
100,0,0
250,0,0
250,0,0
250,0,0
100,0,0
100,0,0
100,0,0
250,0,2
250,0,0
250,0,0
100,1,0
100,0,1
100,0,0
250,0,4
250,0,0
250,0,0
100,1,0
100,0,0
100,1,0
250,0,2
250,0,0
250,6,1
100,2,0
100,0,1
100,0,0
250,2,0
250,1,0
250,1,0
100,2,0
100,0,1
100,1,6
250,3,6
250,6,3
250,2,14
100,0,0
100,3,1
100,2,0
250,0,0
250,1,1
250,16,1
100,0,0
100,1,0
100,5,0
250,1,1
250,3,2
250,6,1
100,0,1
100,0,0
100,0,0
250,0,0
250,2,1
250,0,0
100,0,0
100,0,0
100,0,0
250,0,0
250,2,0
250,0,0
100,0,0
100,0,0
100,1,0
250,0,1
250,0,0
250,0,0
