"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000648583686209641,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00204232987922141,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00345517708938705,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00450261455267623,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00193215961163329,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000780207241794099,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0057140602582789,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00108200212652091,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0067764619891353,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00305828187764492,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00501488501247259,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00304800452916351,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00498668006016624,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00335069494983389,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00119056204855077,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00394275102847273,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00384751864415283,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00206261118561733,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00254114580263776,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00498792477185961,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00495122301974635,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000616801808081898,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000103706002854764,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00534674496017172,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00184374136527028,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00285593691641254,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0015728356938293,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00438402083972212,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00248503664188447,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000440765270679903,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00556439976175996,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00337967115735451,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00560099386293138,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00352070045797272,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00510497292335634,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00218560910360298,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00399441229789745,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00362876575183244,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00338725188590371,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00292644065508897,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00431566365396873,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00567919602193206,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00396440159022195,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00334710955343469,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00300839927937522,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00278171736296586,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00399630950125992,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00561090810532013,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.000210871309621616,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00429502132603931,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00521552173056193,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00153303519389416,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00252569508368513,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0022672643180181,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00166932615706845,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0029321349523661,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.0059984536079317,4,6,33,0,0,0,3
"Protea repens","10.1111/ecog.00839",2014,"Plants","Africa","temperature","C","all","growth",0.00369703991204465,4,6,33,0,0,0,3
