"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00830596810412376,0,4,8,33,0,0,0,3,0.0670504235349955
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00864969807465147,0,4,8,33,0,0,0,3,0.0688131338323593
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00492692238372355,0,4,8,33,0,0,0,3,0.038887365065086
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.000887894901514703,0,4,8,33,0,0,0,3,0.00679337238849025
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00211058354679335,0,4,8,33,0,0,0,3,0.0167575564121175
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00214753290934209,0,4,8,33,0,0,0,3,0.0172908952452948
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00255609628473025,0,4,8,33,0,0,0,3,0.0204967522652734
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00202027752192917,0,4,8,33,0,0,0,3,0.0161171483575161
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00226043720345622,0,4,8,33,0,0,0,3,0.0181097148211401
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00683211480149999,0,4,8,33,0,0,0,3,0.0545128825989982
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.0138404833992973,0,4,8,33,0,0,0,3,0.114798161619739
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.000453491051811434,0,4,8,33,0,0,0,3,0.00355963950552849
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.0159615019958359,0,4,8,33,0,0,0,3,0.13168798823206
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.000360576888749118,0,4,8,33,0,0,0,3,0.00286689927314857
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00201518924169655,0,4,8,33,0,0,0,3,0.0161901553009542
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00885955426265491,0,4,8,33,0,0,0,3,0.0711848731670234
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00709161028159811,0,4,8,33,0,0,0,3,0.0569643098954928
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.000933742467972833,0,4,8,33,0,0,0,3,0.00740200130878747
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00193165663526724,0,4,8,33,0,0,0,3,0.0153163159141495
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00649870737006322,0,4,8,33,0,0,0,3,0.0544707473458594
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00434420645646579,0,4,8,33,0,0,0,3,0.0350736543900746
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00920574008139246,0,4,8,33,0,0,0,3,0.0748295417732658
"Protea repens","10.1111/ecog.00839","2014","Plants","Africa","temperature","C","all","all",0.00135458275953738,0,4,8,33,0,0,0,3,0.0107097680625771
