"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00360487281835309,1,0.33,5,19,1,0,1,NA,0.0130951752971367
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000920149685468773,1,0.33,5,19,1,0,1,NA,0.00339774163183138
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",8.17597761809655e-05,1,0.33,5,19,1,0,1,NA,0.000302373635322978
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.013682032377082,1,0.33,5,19,1,0,1,NA,0.049499725903739
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00535998047432345,1,0.33,5,19,1,0,1,NA,0.0195732004307961
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.0019727389656008,1,0.33,5,19,1,0,1,NA,0.00724553107436262
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00816983359095075,1,0.33,5,19,1,0,1,NA,0.0297682331346827
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",6.91611955531403e-05,1,0.33,5,19,1,0,1,NA,0.000255727258449585
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00452859079243472,1,0.33,5,19,1,0,1,NA,0.0166119545486154
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000839024461774467,1,0.33,5,19,1,0,1,NA,0.00309793145472423
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00686340876683698,1,0.33,5,19,1,0,1,NA,0.0251440145041653
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00235244997902283,1,0.33,5,19,1,0,1,NA,0.00855661208955507
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000671245805331491,1,0.33,5,19,1,0,1,NA,0.00248537100124322
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00159306158310949,1,0.33,5,19,1,0,1,NA,0.00587426135078609
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000792731939990606,1,0.33,5,19,1,0,1,NA,0.00292792736642005
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000937369711186974,1,0.33,5,19,1,0,1,NA,0.0034498040782669
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00217936943688602,1,0.33,5,19,1,0,1,NA,0.00802798233730366
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00334583545152267,1,0.33,5,19,1,0,1,NA,0.0122910949382497
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000771058328903442,1,0.33,5,19,1,0,1,NA,0.0028561247548369
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",6.69137067123173e-05,1,0.33,5,19,1,0,1,NA,0.000247456370128805
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00127251450063211,1,0.33,5,19,1,0,1,NA,0.00460982324609273
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",3.10749800657321e-05,1,0.33,5,19,1,0,1,NA,0.000114935923349426
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00338208614887909,1,0.33,5,19,1,0,1,NA,0.0123188905019486
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00222658638001698,1,0.33,5,19,1,0,1,NA,0.00812222295718825
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.002672448285652,1,0.33,5,19,1,0,1,NA,0.00983539492981867
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000837372749124348,1,0.33,5,19,1,0,1,NA,0.00306063107399272
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00103263131694202,1,0.33,5,19,1,0,1,NA,0.0037773122902977
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00479482906702377,1,0.33,5,19,1,0,1,NA,0.0174035637938824
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00075097868492159,1,0.33,5,19,1,0,1,NA,0.00272671881603153
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.000442128577382961,1,0.33,5,19,1,0,1,NA,0.00162304557230963
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","all",0.00441231022186626,1,0.33,5,19,1,0,1,NA,0.0161869978360656
