"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00905076317899122,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00186449880394327,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00386370683191303,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00344304974203252,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00893520907078721,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00263955642167114,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00618631321629832,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00953864004634002,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.000901174421905932,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00521816220559821,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00204936686595115,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00545618972907728,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00541735179477517,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00478736056442378,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00312943980616548,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00267827484441434,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",0.00264719986434861,0.33,5,19,1,0,1,NA
"Oryctolagus cuniculus","10.1371/journal.pone.0048988",2012,"Mammals","Europe","Temperature","C","all","reproduction",3.10749800657321e-05,0.33,5,19,1,0,1,NA
