"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.118915417758512,0,1.9,10,49,1,0,0,20,0.955283366329649
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.246941370623049,0,1.9,10,49,1,0,0,20,2.08915413833214
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0370341837236171,0,1.9,10,49,1,0,0,20,0.538641908813003
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0491054892953456,0,1.9,10,49,1,0,0,20,0.649333419453705
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.12327034327056,0,1.9,10,49,1,0,0,20,0.634558652875843
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0151034332448714,0,1.9,10,49,1,0,0,20,0.182880447085978
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0253891766918352,0,1.9,10,49,1,0,0,20,0.349222093252493
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.115175782224808,0,1.9,10,49,1,0,0,20,0.511710548646867
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.102860965321424,0,1.9,10,49,1,0,0,20,0.686747229925347
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0454728878163633,0,1.9,10,49,1,0,0,20,0.415021869543281
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.118729659018018,0,1.9,10,49,1,0,0,20,0.976778433655533
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0684389588767529,0,1.9,10,49,1,0,0,20,0.765679105078838
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.22023990964852,0,1.9,10,49,1,0,0,20,1.43532843464791
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0307186107797153,0,1.9,10,49,1,0,0,20,0.374721297769068
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0371350179394935,0,1.9,10,49,1,0,0,20,0.316216744368814
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0101822714598376,0,1.9,10,49,1,0,0,20,0.0571347660545159
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.210014686145577,0,1.9,10,49,1,0,0,20,1.36386118636646
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0915136072293518,0,1.9,10,49,1,0,0,20,0.377848425431411
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.261756696881219,0,1.9,10,49,1,0,0,20,3.22887001073025
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.227650728731964,0,1.9,10,49,1,0,0,20,2.79973149969253
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0913679808262394,0,1.9,10,49,1,0,0,20,0.814669158590383
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00608252876016896,0,1.9,10,49,1,0,0,20,0.0781024716190083
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0873420343285869,0,1.9,10,49,1,0,0,20,0.379732986289795
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.211515328816766,0,1.9,10,49,1,0,0,20,2.67331733760418
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0675803605856569,0,1.9,10,49,1,0,0,20,0.70903620726304
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0453245961671168,0,1.9,10,49,1,0,0,20,0.376998093823778
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0871534649493872,0,1.9,10,49,1,0,0,20,0.540901129346388
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0294173422536751,0,1.9,10,49,1,0,0,20,0.345901663169356
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.113434660072209,0,1.9,10,49,1,0,0,20,0.681336524618969
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.000200235421839591,0,1.9,10,49,1,0,0,20,0.0010591862166155
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0862082828041469,0,1.9,10,49,1,0,0,20,0.405619189710871
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0862456140799108,0,1.9,10,49,1,0,0,20,0.573322327586772
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.139707485979773,0,1.9,10,49,1,0,0,20,0.725269062104632
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.00811214842919213,0,1.9,10,49,1,0,0,20,0.105495977027018
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.09301709659394,0,1.9,10,49,1,0,0,20,0.927895191089098
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.191999109001822,0,1.9,10,49,1,0,0,20,2.4385842802957
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0149841082496159,0,1.9,10,49,1,0,0,20,0.198992347836847
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.177852985560911,0,1.9,10,49,1,0,0,20,1.48787189372919
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0222702804220751,0,1.9,10,49,1,0,0,20,0.254097493205079
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.0748071314206357,0,1.9,10,49,1,0,0,20,0.952303471667182
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.211727925074166,0,1.9,10,49,1,0,0,20,1.29187084853174
"Rangifer tarandus","10.1038/s41467-019-09332-5","2019","Mammals","Europe","ROS","C","all","all",0.223811698199903,0,1.9,10,49,1,0,0,20,1.94311725162681
