"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.100450420121126,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.023598976830258,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.24866167720193,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.170686008752102,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.121493507183687,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0399674842868381,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.230674696197816,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.20860525434363,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.187752454878007,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.209562853558027,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.156053888721729,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.064625455862337,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.183365634284242,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.231365229344664,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.106977824791923,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0830469642670617,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.155024940604608,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.180508358727239,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0339789288564071,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.137830164074735,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.23481997634207,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.019304342819712,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.248753416654922,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.180883892837869,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.204626710613941,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0727177280161485,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.304446330799161,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.174885180354087,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.112679480424542,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.119055789113715,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.231336996170912,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0261753825354196,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.202428201032463,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0602650646666933,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.212963876725236,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0483399679585745,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0782067213474666,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.161422855941685,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0240289253264871,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0136371500881575,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0761242496526863,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0771684902535442,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0569753128733917,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0569416096631664,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.146864796004032,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.157332602899976,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.230598959937441,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.172016550314616,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0374310354142899,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.037133678274793,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.108390966581603,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0253440760568706,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.271452594396727,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.092048174439217,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0763890099218698,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.193574031873979,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0581512440099808,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.161956055557899,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0548651395019698,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.180489418629114,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.106775630169837,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.147811243690119,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.222132060748848,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0836619142233704,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.161232679240031,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.16232898118209,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.117893406432844,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.150911432042297,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.00112849309447756,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0479835468039119,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0559452334627649,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0455710767142832,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.231896750213377,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.257383996007617,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0835084319619083,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.00264823084897719,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.202594266893464,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0361113626593268,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.119160792082343,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 1","survival",0.0882569229383337,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 2","survival",0.0865112738107637,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 2","survival",0.0874603775813249,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 2","survival",0.0036555201795138,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 2","survival",0.0368885861077472,1.9,10,49,1,0,0,20
"Rangifer tarandus","10.1038/s41467-019-09332-5",2019,"Mammals","Europe","ROS","C","age class 2","survival",0.0445816375999918,1.9,10,49,1,0,0,20
