"Year" "ROS" "Winter length" "N"
"1" 1994 0.182321556793955 242 1018
"2" 1995 4.2076732475291 241 1024
"3" 1996 2.39789527279837 263 762
"4" 1997 0 242 882
"5" 1998 1.41098697371026 255 993
"6" 1999 2.02814824729229 255 1133
"7" 2000 2.19722457733622 224 1104
"8" 2001 2.97552956623647 245 1330
"9" 2002 1.85629799036563 250 892
"10" 2003 2.50143595173921 250 1092
"11" 2004 1.66770682055808 239 1197
"12" 2005 3.31418600467253 213 1373
"13" 2006 1.66770682055808 239 1331
"14" 2007 2.86220088092947 238 1524
"15" 2008 1.6094379124341 246 1056
"16" 2009 4.17438726989564 227 1183
"17" 2010 1.41098697371026 228 1233
"18" 2011 4.14313472639153 237 1493
"19" 2012 1.64865862558738 247 1349
"20" 2013 1.38629436111989 231 1596
