"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0633299725373098,0,4.6,1,4,1,1,0,8,0.18165518318618
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0637316900898977,0,4.6,1,4,1,1,0,8,0.180248628184276
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0772786667394539,0,4.6,1,4,1,1,0,8,0.22356809655161
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0752730539998676,0,4.6,1,4,1,1,0,8,0.216960655851052
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0770932147150925,0,4.6,1,4,1,1,0,8,0.222213714076934
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0663320076341642,0,4.6,1,4,1,1,0,8,0.190824788208169
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0614297971285373,0,4.6,1,4,1,1,0,8,0.177689913892916
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0632277149431128,0,4.6,1,4,1,1,0,8,0.184893315319434
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.042751352235462,0,4.6,1,4,1,1,0,8,0.123558558417882
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0665623766746095,0,4.6,1,4,1,1,0,8,0.190856578884988
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0731118273878705,0,4.6,1,4,1,1,0,8,0.21014005011096
"10.1098/rspb.2022.1494","2023","Plants","Cistus libanotis","Europe","rain","C","all","all",0.0800878161953485,0,4.6,1,4,1,1,0,8,0.231141816187008
