"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0542555902579571,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0623818439018405,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0411805476063183,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0544291034914036,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0317985961864271,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0363393224097593,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0460091917569641,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0483462712796504,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0520543631459052,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0400007512144799,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0298492350728792,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0334552028436019,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0217691775476787,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.055174915677788,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0449655757645271,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0251230844477409,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0312470230236889,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0354230931056892,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0157940237224032,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0577453495906257,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0516910205016949,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0226903901745971,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0334774029223954,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0196373991532452,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0464065205789453,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.030661388985802,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0342593206623379,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0290210764544863,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0314476263213109,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0287516277107147,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0414713207655482,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0220463510220755,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0451433010744926,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0671996238836149,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0244383206265864,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.051266293366064,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0352881564371691,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.051943318521375,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0483525683610577,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0179796262938991,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0240926492084432,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0595439670578806,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0446212971765938,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0504235471497646,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0292258356870307,4.6,1,4,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Cistus libanotis","Europe","rain","C","adult","survival",0.0473766783016713,4.6,1,4,1,1,0,8
