"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.001545158,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.004338444,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.004155573,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.002145608,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.001335667,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.002049582,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.001959964,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.004344,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.002975792,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.003504502,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00291379,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.003786535,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.003778027,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.004016205,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.000470774,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.005158196,5.8,2,5,1,1,0,8
"10.1098/rspb.2022.1494",2023,"Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",5.43044272657413e-05,5.8,2,5,1,1,0,8
