"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00154515813081619
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.0043384439825765
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00415557256914019
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00214560816675561
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00133566666139749
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00204958152491046
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00195996384676736
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00434400018210594
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00297579181141659
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00350450154967164
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00291379028818595
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00378653481517397
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00377802704012018
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00401620476828517
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.000470774419611358
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","sapling","survival",0.00515819589502654
