"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.021321338855821,0.00123750009570556
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0213587477980909,0.00191728360129313
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0261676168555022,0.00435951691133427
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0323916550233755,0.0123835154666386
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0424194965373817,0.0207275995934711
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0348894967847622,0.0129714395889862
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0169315065322376,0.00201900485805474
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0164339308952249,0.00637245965019261
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0331658887086733,0.0111512181177678
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.00403157164344641,0.0133676600839831
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0211291776495426,0.000643412639070844
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0256976816039186,0.00355935303405518
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0214172216474682,0.00120221274819418
"https://doi.org/10.1098/rspb.2022.1494","2023","Plants","Halimium halimifolium","Europe","rain","C","all","all",0.0244797331680388,0.000271439213323378
