time,pop_d,snow,temp
1,2.555555556,0.31,5.1
2,2.166666667,0.31,5.1
3,2.5,0.32,3.49
4,3.214285714,0.32,3.49
5,2.6875,0.19,1.73
6,3.2,0.19,1.73
7,2.928571429,0.33,4.96
8,3.866666667,0.33,4.96
9,3.0625,0.66,4.01
10,3.4375,0.66,4.01
11,2.8125,0.36,2.51
12,2.6875,0.36,2.51
13,2.133333333,0.17,2.16
14,1.466666667,0.17,2.16
15,2.294117647,0.56,0.26
16,2.071428571,0.56,0.26
17,2,0.54,0.89
18,3.692307692,0.54,0.89
19,3.16,0.43,2.53
20,3.5,0.43,2.53
21,2.944444444,0.36,3.99
22,3.473684211,0.36,3.99
23,3.051282051,0.4,2.04
24,2.739130435,0.4,2.04
25,2.431818182,0.44,5.59
26,3.238095238,0.44,5.59
27,2.8,0.42,3.35
28,3.925,0.42,3.35
29,3.465116279,0.37,3.94
30,3.619047619,0.37,3.94
31,2.688888889,0.35,3.11
32,2.674418605,0.35,3.11
33,2.256410256,0.34,3.54
34,3.186046512,0.34,3.54
35,2.318181818,0.68,3.47
36,3.111111111,0.68,3.47
37,2.697674419,0.57,2.62
38,3.844444444,0.57,2.62
39,3.326086957,0.33,4.22
40,3.386363636,0.33,4.22
41,2.488372093,0.53,3.39
42,3.333333333,0.53,3.39
43,2.844827586,0.4,4.98
44,4.064516129,0.4,4.98
45,3.770491803,0.41,1.78
46,3.016393443,0.41,1.78
47,2.263157895,0.44,4.59
48,2.833333333,0.44,4.59
49,2.614035088,0.35,3.83
50,3.963636364,0.35,3.83
