"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Temperature","C","all","recruitment",0.0022344631754638,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder summer","survival",0.00910794724545388,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder winter","survival",0.00817349279723606,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","dispersed juvenile","survival",0.00636881984307815,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder summer","survival",0.00635337017006924,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder winter","survival",0.00636872150751157,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","retained juvenile","survival",0.00636894253065451,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Temperature","C","all","recruitment",0.0017516371719881,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder summer","survival",0.00780394846349198,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder winter","survival",0.00488308423614893,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","dispersed juvenile","survival",0.00814911862648621,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder summer","survival",0.008132116467987,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder winter","survival",0.0081495921773462,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","retained juvenile","survival",0.00814933604748131,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Temperature","C","all","recruitment",0.00134400025299753,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder summer","survival",0.00664445025894415,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder winter","survival",0.0101025016460459,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","dispersed juvenile","survival",0.00692625332507791,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder summer","survival",0.00691706173872887,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder winter","survival",0.00692570641856782,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","retained juvenile","survival",0.00692659109485658,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Temperature","C","all","recruitment",0.00220491469164503,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder summer","survival",0.00607406284836099,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","breeder winter","survival",0.00802264521082391,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","dispersed juvenile","survival",0.00499041424343092,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder summer","survival",0.00497085992770922,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","non-breeder winter","survival",0.00499051945219244,1,12,28,1,0,0,15
"10.1007/s00442-018-4100-z",2018,"Birds","Perisoreus infaustus","Europe","Snow","C","retained juvenile","survival",0.00499050435253,1,12,28,1,0,0,15
