"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00487227774954383,0,4,8,46,1,1,1,22,0.0180564803570623
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00380205273584897,0,4,8,46,1,1,1,22,0.0141098428766882
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00193197739351495,0,4,8,46,1,1,1,22,0.00715559308282433
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00616265808331318,0,4,8,46,1,1,1,22,0.0229509906749076
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00208830764687724,0,4,8,46,1,1,1,22,0.0077454300647094
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.000770575456452663,0,4,8,46,1,1,1,22,0.00285541538860589
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00307535318961195,0,4,8,46,1,1,1,22,0.011373259689691
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00361504604652164,0,4,8,46,1,1,1,22,0.0134799240872606
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00105821290360541,0,4,8,46,1,1,1,22,0.0039272983622203
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.00234455976133337,0,4,8,46,1,1,1,22,0.00866455249428962
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.150529174917125,1,4,8,46,1,1,1,22,0.436501523101569
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.15582181431602,1,4,8,46,1,1,1,22,0.450178315526667
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.152560913559587,1,4,8,46,1,1,1,22,0.441825192973085
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.133121037329593,1,4,8,46,1,1,1,22,0.393543724241309
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.153496663136779,1,4,8,46,1,1,1,22,0.442352137946506
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.151024807482915,1,4,8,46,1,1,1,22,0.437176977320158
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.156652258493818,1,4,8,46,1,1,1,22,0.449587166804234
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.151538786510055,1,4,8,46,1,1,1,22,0.437549501115665
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.152720251381647,1,4,8,46,1,1,1,22,0.442405582975036
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","all","all",0.149489148054047,1,4,8,46,1,1,1,22,0.433757201249875
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0153288660674663,0,4,8,46,1,1,1,22,0.056125689912126
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0147880486150695,0,4,8,46,1,1,1,22,0.0537816857014546
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0176805775831339,0,4,8,46,1,1,1,22,0.064612365858117
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0170864465390292,0,4,8,46,1,1,1,22,0.0623757877550397
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0166783072345798,0,4,8,46,1,1,1,22,0.0608994306061558
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0214720309924019,0,4,8,46,1,1,1,22,0.0789880515138725
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0169324418971796,0,4,8,46,1,1,1,22,0.0615665705064425
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0161328155449669,0,4,8,46,1,1,1,22,0.0587842192560239
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0151433022454492,0,4,8,46,1,1,1,22,0.0550263737025285
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0210685359038047,0,4,8,46,1,1,1,22,0.0773897329982881
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0109285318974149,1,4,8,46,1,1,1,22,0.0394479824012978
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0135676255332672,1,4,8,46,1,1,1,22,0.0490262542342734
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0148816201661381,1,4,8,46,1,1,1,22,0.0540085018587129
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0173080965074952,1,4,8,46,1,1,1,22,0.0630091850483666
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0123964770642174,1,4,8,46,1,1,1,22,0.0447818241520775
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0176406803142716,1,4,8,46,1,1,1,22,0.0642472579863854
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0139881440043631,1,4,8,46,1,1,1,22,0.0506995096895897
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0174161800289149,1,4,8,46,1,1,1,22,0.0637059531298972
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.017130070177965,1,4,8,46,1,1,1,22,0.0623892851490783
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","IntraDens","D","all","all",0.0191850446281473,1,4,8,46,1,1,1,22,0.0702678239749233
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00890823339180333,0,4,8,46,1,1,1,22,0.027786710953358
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00719061547359419,0,4,8,46,1,1,1,22,0.0222766614844947
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00884488164297279,0,4,8,46,1,1,1,22,0.0276038608656913
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00908419387755961,0,4,8,46,1,1,1,22,0.0282312380607507
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00942193775359915,0,4,8,46,1,1,1,22,0.0293984901030905
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00779301852360227,0,4,8,46,1,1,1,22,0.0242008576682955
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00938474462662471,0,4,8,46,1,1,1,22,0.0292351823786164
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00675769733399999,0,4,8,46,1,1,1,22,0.0210003343574429
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00821584252156612,0,4,8,46,1,1,1,22,0.0256190013801137
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00642340618527362,0,4,8,46,1,1,1,22,0.0199804408877805
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.0115001218000123,1,4,8,46,1,1,1,22,0.0363334187485806
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00426024801299058,1,4,8,46,1,1,1,22,0.0133727805048857
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00702657489817849,1,4,8,46,1,1,1,22,0.0222243210218987
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.013343274329926,1,4,8,46,1,1,1,22,0.0422015713389462
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00908397028742305,1,4,8,46,1,1,1,22,0.0286249671718166
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00811159939338561,1,4,8,46,1,1,1,22,0.0255611192757538
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.0132576170801154,1,4,8,46,1,1,1,22,0.0416590833792621
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.0103960809655681,1,4,8,46,1,1,1,22,0.0327937616100726
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.00945312634688875,1,4,8,46,1,1,1,22,0.0298516257234787
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","InterDens","B","all","all",0.0101752914474537,1,4,8,46,1,1,1,22,0.0320326064821041
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.000789952434207006,0,4,8,46,1,1,1,22,0.00254471192000012
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.000291345954804888,0,4,8,46,1,1,1,22,0.000942434555010737
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00371504466810836,0,4,8,46,1,1,1,22,0.0120077959666768
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00313999806650426,0,4,8,46,1,1,1,22,0.0100936832024934
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00377321147921882,0,4,8,46,1,1,1,22,0.012168271437992
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.000972609189105345,0,4,8,46,1,1,1,22,0.00313153825248282
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.000208001329869731,0,4,8,46,1,1,1,22,0.000670470278770677
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00229382864393236,0,4,8,46,1,1,1,22,0.00735731166077034
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00319819337772133,0,4,8,46,1,1,1,22,0.0102761851275685
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00430065275044321,0,4,8,46,1,1,1,22,0.0138893050019643
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.0066104031286874,1,4,8,46,1,1,1,22,0.0212050697098214
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.0066099028572629,1,4,8,46,1,1,1,22,0.0212026382372571
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00543559609098609,1,4,8,46,1,1,1,22,0.0173219626503596
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00503419792280025,1,4,8,46,1,1,1,22,0.0161668711298986
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00492779929226152,1,4,8,46,1,1,1,22,0.0158014848408689
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00532328745022224,1,4,8,46,1,1,1,22,0.0170378441889596
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00833277936266751,1,4,8,46,1,1,1,22,0.0265574860777178
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00195814793943127,1,4,8,46,1,1,1,22,0.00627705213714655
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00405631466200621,1,4,8,46,1,1,1,22,0.0129887008588873
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SST","C","all","all",0.00486052447392937,1,4,8,46,1,1,1,22,0.0155438945432147
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0180668139755123,0,4,8,46,1,1,1,22,0.0654274893380091
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0180620503629777,0,4,8,46,1,1,1,22,0.0654604837481229
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0164955181340342,0,4,8,46,1,1,1,22,0.0595692484924087
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","Chla","B","all","all",0.0190592833799984,0,4,8,46,1,1,1,22,0.0690756458106723
