"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00120289678975419,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000765387719482969,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.0013798467742199,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00169226276136306,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00106731890445958,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000163521353251751,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00124930799746006,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00115974027699588,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000208820042602676,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","survival",2.62614930419011e-05,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00013617588978304,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.0027221400674072,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.000550298410545955,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00197565971925235,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00497751795803152,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00168335861474112,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00372605444459974,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00273392198071243,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00344230519696454,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","survival",0.00154878483842315,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.000488572238656769,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.0018526993181627,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.00106674385797061,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.000832208784399164,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.000445018158696421,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.000309098409252164,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.00124881010138271,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.00125501038089542,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",2.88303926409394e-05,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous non-breeder","reproduction",0.00258230364202109,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00243335059625762,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00190205273846587,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.000769606620553066,4,8,46,1,1,1,22
"10.1002/ecm.1459",2021,"Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.000192533376222524,4,8,46,1,1,1,22
