"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","vr_par","dens","biotic_interactions"
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.00653802301258984,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.00676029604676417,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0132710897794695,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0101784470302013,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0092329577907533,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0156398343453883,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0120810721318588,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0084788466706045,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0187083858955716,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.00749852744759506,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0131311358082926,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.00947016677311712,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0121736822262877,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0197832879267781,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0131382742538768,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0171957409190852,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0157623636832507,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0108843868965684,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0157689692200774,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.0103647241615246,1,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","IntraDens","D","all","all",0.00131229552899219,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","IntraDens","D","all","all",0.00243595502742472,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","IntraDens","D","all","all",0.00231662390146615,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","IntraDens","D","all","all",0.00170709342682736,0,4,8,28,224,1,1
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","IntraDens","D","all","all",0.00434944067105639,0,4,8,28,224,1,1
