"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","gen.time","n.vr","n.pam","dens","biotic_interactions"
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.0056632278024188,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000545099487521932,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00229387012300529,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00479507671003869,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00273745511152411,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000987457280207327,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000923162935940651,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00892130747252056,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00171372780152113,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.0020969762933189,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.0110597367638774,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.000248844162944655,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00799892197537087,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00739820307057709,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00319422354202187,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.0124482993584614,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.0103124765049861,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.0121577445010682,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00541040188120049,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous breeder","reproduction",0.00340077266225676,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000272156494773336,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00523319705684325,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00235558330511198,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00418235195172336,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.0045159533381381,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00197700734797494,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00195249349522163,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00153230356691789,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.000894720042443043,4,8,28,1,1
"10.1002/ecm.1459",2021,"Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","previous non-breeder","survival",0.00360624095189839,4,8,28,1,1
