"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",8.45391262579056e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",6.78800369321147e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",0.000129068090918462
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",7.95485372848201e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",3.95482604547685e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",9.47944166671522e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",0.000183002050788242
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",1.92949955105522e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",6.06277443632424e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","non.breeder","survival",6.11055997004244e-05
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00621932236276056
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00221993088038623
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00190821017937942
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00655361781115035
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00665066421783137
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00558749372485464
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00646198157368819
"10.1002/ecm.1459","2021","Birds","Halobaena caerulea","Sub-Antarctic","SAM","C","breeder","survival",0.00439657443402604
