"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.003300844
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.002837232
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.003110516
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.003285623
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.001986257
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.00344621
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.003668789
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.003146916
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.003852085
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.003166091
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.00955994
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.008809176
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.009955804
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.009753909
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.005899264
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.010484827
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.010676152
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.009344149
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","survival",0.012170851
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","survival",0.009811097
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","non.breeder","reproduction",3.95e-05
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","breeder","reproduction",9.84e-05
