,s.delta.SAM,s.delta.DensS,s.delta.DensP,s.deltaSAM.cov,s.deltaDensS.cov,s.delta.DensP.cov
1,0.014320294,0.003504582,0.000525176,0.014273286,0.00356294,0.001500416
2,0.01321721,0.003407482,0.000578956,0.013685759,0.00271815,0.001523116
3,0.014545666,0.003700554,0.000611741,0.014865014,0.00354223,0.001475415
4,0.01420395,0.003538649,0.00055456,0.014616039,0.003405511,0.001684177
5,0.009687463,0.003533741,0.000537616,0.01110649,0.001014247,0.000864319
6,0.015185109,0.003613433,0.000772325,0.015093817,0.004026181,0.001706482
7,0.015951949,0.003649346,0.000595511,0.015696662,0.004199341,0.001757662
8,0.014608765,0.003837134,0.00061211,0.014659627,0.003458348,0.001761055
9,0.017597664,0.003446906,0.000813586,0.01683078,0.005338728,0.002072143
10,0.014312891,0.003265907,0.000604558,0.01450414,0.003456404,0.001728574
