"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.014320294,0.014273286
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.01321721,0.013685759
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.014545666,0.014865014
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.01420395,0.014616039
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.009687463,0.01110649
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.015185109,0.015093817
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.015951949,0.015696662
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.014608765,0.014659627
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.017597664,0.01683078
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","SAM","C","all","all",0.014312891,0.01450414
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003504582,0.00356294
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003407482,0.00271815
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003700554,0.00354223
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003538649,0.003405511
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003533741,0.001014247
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003613433,0.004026181
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003649346,0.004199341
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003837134,0.003458348
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003446906,0.005338728
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensS","D","all","all",0.003265907,0.003456404
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000525176,0.001500416
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000578956,0.001523116
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000611741,0.001475415
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.00055456,0.001684177
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000537616,0.000864319
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000772325,0.001706482
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000595511,0.001757662
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.00061211,0.001761055
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000813586,0.002072143
"10.1002/ecm.1459","2021","Birds","Catharacta loennbergi","Sub-Antarctic","DensP","B","all","all",0.000604558,0.001728574
