time,area,area_h,area_h_corr,perimeter,nr_tot,nr_tot20,nr_f,nr_f20,nr_m,nr_m2,avgsize,pd,pd20,pd_h,pd20_h,pd20F_h
1,19343.5256,1.93435256,1.93435256,656.92296,84,82,38,36,46,46,11.03022,0.004342538,0.004239144,43.42538,42.39144,18.61087826
2,48460.0417,4.84600417,4.84600417,1028.43461,98,96,40,39,58,57,7.5,0.002022285,0.001981014,20.22285,19.81014,8.04786761
3,62452.6866,6.24526866,6.24526866,1029.09281,134,106,60,44,74,62,10.55555556,0.002145624,0.001697285,21.45624,16.97285,7.045333419
4,25783.0121,2.57830121,2.57830121,779.16021,128,111,58,48,70,63,12.57142857,0.004964509,0.00430516,49.64509,43.0516,18.61690939
5,59687.1575,5.96871575,5.96871575,1002.52796,136,130,68,63,68,67,12.01142857,0.002278547,0.002178023,22.78547,21.78023,10.55503439
6,15647.5961,1.56475961,6.246323035,570.84659,9,5,5,2,4,3,11.45142857,0.002166262,0.002024031,21.66262,20.24031,10.64238136
7,65239.3032,6.52393032,6.52393032,995.10044,134,122,77,70,57,52,10.89142857,0.002053977,0.001870038,20.53977,18.70038,10.72972833
8,3635.40808,0.363540808,5.80201643,288.95069,6,4,3,2,3,2,10.33142857,0.003458042,0.003208595,34.58042,32.08595,15.50245482
9,50801.0254,5.08010254,5.08010254,950.41217,247,231,109,103,138,128,9.761904762,0.004862107,0.004547152,48.62107,45.47152,20.2751813
10,42350.4999,4.23504999,4.23504999,802.01434,275,235,134,116,141,119,14.42857143,0.00649343,0.005548931,64.9343,55.48931,27.39046771
11,45950.7557,4.59507557,4.59507557,841.22154,255,244,138,133,117,111,12.57142857,0.005549419,0.005310032,55.49419,53.10032,28.94402888
12,55547.2973,5.55472973,5.55472973,965.15567,332,296,164,144,168,152,11,0.005976888,0.005328792,59.76888,53.28792,25.92385354
13,36894.9297,3.68949297,3.68949297,759.81736,226,219,116,113,110,106,11.23529412,0.006125503,0.005935775,61.25503,59.35775,30.62751465
14,29277.4025,2.92774025,2.92774025,676.21799,250,247,124,123,126,124,15.52631579,0.008539009,0.008436541,85.39009,84.36541,42.0119237
15,47514.9419,4.75149419,4.75149419,859.74064,330,330,150,150,180,180,12.57142857,0.006945184,0.006945184,69.45184,69.45184,31.56901682
16,NA,NA,4.871925325,NA,NA,NA,NA,NA,NA,NA,14.15142857,0.006393627,0.006384073,63.93627,63.84073,29.74377446
17,NA,NA,4.99235646,NA,NA,NA,NA,NA,NA,NA,15.73142857,0.00584207,0.005822962,58.4207,58.22962,27.91853209
18,NA,NA,5.112787595,NA,NA,NA,NA,NA,NA,NA,17.31142857,0.005290514,0.005261851,52.90514,52.61851,26.09328973
19,52332.1873,5.23321873,5.23321873,1043.67904,248,246,128,127,120,119,6.238095238,0.004738957,0.00470074,47.38957,47.0074,24.26804736
20,54236.4564,5.42364564,5.42364564,940.45308,192,177,101,95,91,82,7.863636364,0.003540054,0.003263488,35.40054,32.63488,17.51589361
21,55530.2907,5.55302907,5.55302907,953.83529,262,241,142,131,120,110,8.888888889,0.004718146,0.004339974,47.18146,43.39974,23.59072829
22,56932.0562,5.69320562,5.69320562,964.00123,400,388,209,201,191,187,15.48148148,0.007025919,0.006815141,70.25919,68.15141,35.30524162
23,57578.2671,5.75782671,5.75782671,964.79932,552,538,264,259,288,279,21.25925926,0.009586951,0.009343803,95.86951,93.43803,44.98224991
24,56385.7346,5.63857346,5.63857346,953.09971,489,479,260,255,229,224,19.33333333,0.008672406,0.008495056,86.72406,84.95056,45.22420463
25,56385.7346,5.63857346,5.63857346,953.09971,401,305,199,153,202,152,16.57142857,0.007111728,0.00540917,71.11728,54.0917,27.13452278
26,54647.2499,5.46472499,5.46472499,942.68829,326,221,157,103,169,118,13.64285714,0.005965534,0.004044119,59.65534,40.44119,18.84815799
27,55927.4634,5.59274634,5.59274634,952.45506,402,383,191,183,211,200,14.82758621,0.007187882,0.006848156,71.87882,68.48156,32.72095476
28,54722.0608,5.47220608,5.47220608,938.50502,272,266,134,132,138,134,10.57142857,0.004970573,0.004860928,49.70573,48.60928,24.12189857
29,41426.055,4.1426055,4.1426055,815.41934,215,212,111,109,104,103,8.590909091,0.00518997,0.005117552,51.8997,51.17552,26.31194305
30,48421.2893,4.84212893,4.84212893,916.43628,139,139,79,79,60,60,6.619047619,0.002870638,0.002870638,28.70638,28.70638,16.31513765
31,45443.9496,4.54439496,4.54439496,832.65208,113,113,66,66,47,47,4.666666667,0.00248658,0.00248658,24.8658,24.8658,14.52338553
