"","session","breeders","philopatrics","immatures","unknown"
"1","1",7,29,1,2
"2","2",15,26,0,1
"3","3",27,27,8,0
"4","4",20,28,11,0
"5","5",24,43,2,0
"6","6",0,5,0,0
"7","7",22,47,8,0
"8","8",1,2,0,0
"9","9",39,70,5,0
"10","10",60,53,23,3
"11","11",61,73,3,3
"12","12",78,70,15,1
"13","13",42,76,0,1
"14","14",39,83,1,2
"15","15",41,107,0,6
"18","18",0,1,0,0
"19","19",25,102,0,2
"20","20",54,44,6,1
"21","21",60,73,10,0
"22","22",47,157,6,0
"23","23",81,184,1,1
"24","24",81,179,0,1
"25","25",62,125,1,12
"26","26",49,89,0,19
"27","27",60,123,0,10
"28","28",26,107,1,4
"29","29",21,94,0,2
"30","30",15,65,0,1
"31","31",9,56,0,1
"32","32",11,39,0,2
"33","33",30,9,5,1
"34","34",33,52,17,2
"35","35",33,77,7,1
"36","36",17,61,0,1
"37","37",23,77,0,1
"38","38",2,6,0,0
"39","39",7,28,0,0
"40","40",24,39,0,1
"41","41",10,29,2,3
"42","42",17,22,1,2
"43","43",21,20,0,4
"44","44",36,21,2,1
"45","45",37,37,11,1
"46","46",49,30,16,0
"47","47",39,71,10,0
"48","48",31,58,2,0
"49","49",19,85,0,0
"50","50",12,81,0,1
"51","51",16,81,0,1
"52","52",18,61,1,2
"53","53",18,70,2,2
"54","54",17,82,0,2
"55","55",12,62,0,2
"56","56",24,59,0,3
"57","57",49,30,2,1
"58","58",50,60,14,9
"59","59",49,53,1,12
"60","60",36,60,0,9
"61","61",33,50,1,1
"62","62",33,50,0,1
"63","63",32,56,0,0
"64","64",28,36,0,0
"65","65",22,27,0,1
"66","66",14,35,0,0
"67","67",9,32,0,1
"68","68",16,21,0,2
"69","69",26,4,2,0
"70","70",27,7,0,0
"71","71",23,14,1,1
"72","72",21,15,0,1
"73","73",19,19,0,0
"74","74",15,23,2,1
"75","75",32,10,8,3
"76","76",34,30,8,1
"77","77",26,27,0,0
"78","78",16,22,0,0
"79","79",18,19,1,0
"80","80",28,13,2,2
"81","81",37,13,0,0
"82","82",41,24,3,0
"83","83",58,52,2,0
"84","84",44,70,5,0
"85","85",40,63,0,0
"86","86",32,56,0,0
"87","87",25,57,0,0
"88","88",28,74,0,0
"89","89",23,72,0,0
"90","90",23,70,0,0
"91","91",30,71,0,1
"92","92",31,65,1,0
"93","93",55,43,0,2
"94","94",62,40,8,2
"95","95",63,73,8,2
"96","96",37,69,0,0
"97","97",34,72,0,0
"98","98",26,62,0,2
"99","99",24,49,0,0
"100","100",19,37,0,0
"101","101",23,29,0,0
"102","102",23,23,0,0
"103","103",39,8,1,1
"104","104",36,3,3,0
"105","105",33,7,7,0
"106","106",45,40,13,0
"107","107",43,59,22,0
"108","108",37,78,0,2
"109","109",36,82,1,1
"110","110",29,69,0,1
"111","111",22,65,0,0
"112","112",14,67,0,0
"113","113",12,61,0,0
"114","114",13,53,0,0
"115","115",21,40,0,0
"116","116",28,23,0,0
"117","117",47,3,22,0
