"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length"
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00164506077759921,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000448206800014957,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00292550602561469,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000945682091991791,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0118302480295287,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00430466597234669,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00419327756592034,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00254661728378313,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0156787387161357,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00412354779071511,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00337167232133549,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00120420327322941,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000969807591654279,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00266435459950815,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00260132086617529,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00268546419090274,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00105888033611308,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00124635790597958,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00569183012273472,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00279420187052531,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000658446390762925,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000300261604305485,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000495191219270347,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00283492757872926,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00304453897928376,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00485734905912883,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00524567213756535,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00382270970111466,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0027947596314649,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0113830741634066,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00311813192215546,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00426867389311722,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.010780965808789,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00440762938794411,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000996957304660367,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0161845396657808,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00039039652371186,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0012594811003199,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00571837023862162,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0052944049166109,0.7,8,98,1,1,0,9
"10.1111/1365-2656.12888",2018,"Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00183064641373485,0.7,8,98,1,1,0,9
