"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.00790215099039993,0,0.7,8,98,1,1,0,9,0.0289157314712023
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0117376641423176,1,0.7,8,98,1,1,0,9,0.0404097618313252
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0386235731216251,0,0.7,8,98,1,1,0,9,0.133624084530352
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0356327262157239,1,0.7,8,98,1,1,0,9,0.126862487056108
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0292828858685086,0,0.7,8,98,1,1,0,9,0.101981465642152
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0303296080668112,1,0.7,8,98,1,1,0,9,0.107676754484386
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0153180261569172,0,0.7,8,98,1,1,0,9,0.0537924110891471
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0443277233380489,1,0.7,8,98,1,1,0,9,0.149130012635585
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0469302403803417,0,0.7,8,98,1,1,0,9,0.163065389420484
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0211109320659611,1,0.7,8,98,1,1,0,9,0.0734007037186916
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0277816605543558,0,0.7,8,98,1,1,0,9,0.0991383145920753
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0471197453061354,1,0.7,8,98,1,1,0,9,0.16828366814314
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0264409844549535,0,0.7,8,98,1,1,0,9,0.0918934932905968
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0531601992398711,1,0.7,8,98,1,1,0,9,0.178675782515005
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0451203780025364,0,0.7,8,98,1,1,0,9,0.162289236549307
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0321585502015217,1,0.7,8,98,1,1,0,9,0.111237380599528
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.00834755925692815,0,0.7,8,98,1,1,0,9,0.0321209791514798
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0361108183283766,1,0.7,8,98,1,1,0,9,0.12725461787548
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0472165622999047,0,0.7,8,98,1,1,0,9,0.158441332147973
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0628120519014578,1,0.7,8,98,1,1,0,9,0.222167076945182
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","all","all",0.0423823016420989,0,0.7,8,98,1,1,0,9,0.151878844962415
