"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00164506077759921
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000448206800014957
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00292550602561469
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000945682091991791
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0118302480295287
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00430466597234669
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00419327756592034
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00254661728378313
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0156787387161357
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00412354779071511
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00337167232133549
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00120420327322941
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000969807591654279
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00266435459950815
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00260132086617529
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00268546419090274
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00105888033611308
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00124635790597958
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00569183012273472
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00279420187052531
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000658446390762925
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000300261604305485
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000495191219270347
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00283492757872926
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00304453897928376
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00485734905912883
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00524567213756535
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00382270970111466
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0027947596314649
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0113830741634066
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00311813192215546
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00426867389311722
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.010780965808789
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00440762938794411
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.000996957304660367
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0161845396657808
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00039039652371186
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0012594811003199
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00571837023862162
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.0052944049166109
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00183064641373485
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00825161436356068
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00953550225526674
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00622259463110193
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00112323761232866
"10.1111/1365-2656.12888","2018","Mammals","Rhabdomys pumilio","Africa","temperature","C","immature","survival",0.00176222442833043
