"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0559812935080996,0.0828620428383879
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0883261271189381,0.0991703143645087
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0287792692874943,0.0863448529914208
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0940478666004207,0.101137624130034
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.118167667603979,0.0896196416010232
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0290480679441471,0.234297342881415
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.10051707718424,0.0752465618668807
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0687682887490153,0.030854918042625
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.194162888265943,0.0444637004817338
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0824173811695898,0.0372516127382396
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.112300367365558,0.0934894947750925
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0274333137670495,0.110183191890366
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.00306344046838449,0.0826000824965143
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0590458643461083,0.142239760393747
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.122964126544012,0.323270932495664
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0893172929971157,0.157945862155627
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.037613427777879,0.0139067043235962
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.13959849965194,0.0532483862420898
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.107754082075595,0.0716993362483517
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.034793666939289,0.102032473283447
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0238585952842341,0.1038383460124
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0132219730703241,0.0689367854561689
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0771704659759243,0.240181709314112
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.122964126544012,0.323270932495664
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.0855010575415983,0.137925258812332
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","all","all",0.00557484017479868,0.0230852606106041
