"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0276011345122163
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.06751234677711
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0315330455416044
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.112383739848571
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0809887309550256
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0409922936896201
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0264956350593203
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0601685102568826
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.210480513589734
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0663298855049142
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.083205552338849
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0509209033515869
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0814101976773039
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.0290078493718946
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.13613626478933
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0496563591239747
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0209917258535358
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","survival",0.0864663925344815
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Certhia familiaris","Europe","Tbr","C","adult","fecundity",0.100577796320056
