"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0.344109082442382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.649296845115822,0.19568722047958
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.06042645610715,0.815069084239171
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.522659724209038,0.595342683978624
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.913648850954933,0.0530755483495766
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0.127513446997024
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.90616660185721,0.289931969281103
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.933467583086172,0.232790900084164
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,0.0163164199876126
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0.344109082442382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.560011378703886,0.309876970763355
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.06042645610715,0.815069084239171
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.522659724209038,0.595342683978624
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.876341156501545,0.1956388645616
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0.127513446997024
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.633398454474347,0.00824416176575632
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.956952142787691,0.240706104117545
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,0.0163164199876126
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0.344109082442382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.560011378703886,0.309876970763355
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.08286352207194,0.787616353584271
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.424163293216735,0.599939326320961
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.876341156501545,0.1956388645616
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0.127513446997024
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.72313995494837,0.302394795943674
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.13207540289882,0.641440061971492
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.896286677742463,0.0163164199876126
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0.344109082442382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.646184583653956,0.161203953980984
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.869835754837846,0.501221335729346
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.589587608566107,0.0749275933766791
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.834188374139354,0.101563970926295
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0.127513446997024
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.781635633475997,0.293496174469668
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.22921803992881,0.663023335664755
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.951980288577088,0.30346549761498
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.619892568052157,0.344109082442382
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.822908924042283,0.152927578275845
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.938997373839215,0.134338856701496
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.555867173853714,0.0333423514779085
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.834188374139354,0.101563970926295
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.882249150646502,0.127513446997024
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",0.636964356380988,0.213012894537308
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","all","all",1.28732252991049,0.888598930899176
