"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.484614519892688
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.478615346925141
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.02100330784982
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.270715284522478
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.764574628007289
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.733594453821432
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.717879900635203
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.597404975790067
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.484614519892688
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.317152101897242
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",1.02100330784982
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.270715284522478
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","fecundity",0.651646729757235
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Linaria cannabina","Europe","Tbr","C","adult","survival",0.692709901732322
