"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.428468684393372,0.734918290913083
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.480445693352826,0.849030243739019
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.506167078531065,0.916374593670104
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.476118854765851,0.736302646649129
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.486225085867113,0.845803562791288
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.674309247924226,0.904795527392504
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.401712089332176,0.679790272030814
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.498699985582564,0.848660633235361
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.410811910627405,0.661204802502745
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.399322375842883,0.756716742739337
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.382459847800268,0.674742643822143
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.471079326445417,0.800134067951434
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.428758736098563,0.773752392952877
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.560038538403627,0.996765934922239
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.520823389940289,0.808597215789261
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.281643442734912,0.569380704654577
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.502257910920321,0.877560175033837
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.410811910627405,0.661204802502745
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.338374485513215,0.614450936863304
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.421172619224971,0.70856600216112
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.581593739505662,0.955723142826831
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.428758736098563,0.773752392952877
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.505594792213458,0.897374635953663
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.461893336438578,0.775063484432597
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.527920914335779,0.826057369900519
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.495819938133433,0.864357104396543
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.413990374230823,0.670765451098481
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.466823400169417,0.846255977241177
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.376252543086651,0.616416001617342
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.628054935874243,0.920113000311416
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.552514230404252,0.849525528571605
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.385040690559682,0.752833391371429
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.479287974071798,0.711099021618595
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.470807713568533,0.761258627790453
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.444886588177024,0.754806211627371
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.267098547105742,0.489399451033633
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.436462568711967,0.744060217595118
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.375015392136763,0.642914433496876
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.614169163575642,1.01084907704398
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.592566924654122,0.9312964542136
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.269559790977558,0.694676999306054
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.540546751283818,0.76185872013762
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.431990051790104,0.742577867498664
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.611654165259008,0.973718416633558
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.267098547105742,0.489399451033633
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.434813898855536,0.777390861670188
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.431618231101351,0.711075745529039
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.426392343014256,0.819629869951126
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.595815046969789,0.920847311844357
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.269559790977558,0.694676999306054
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.539638163090614,0.836781374667192
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.404519889649172,0.658707892233031
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.533227405134517,0.867906045704021
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.267098547105742,0.489399451033633
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.49386541306679,0.893417732774007
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.410517417344792,0.691542191763661
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.633113953047708,0.96264447752726
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.565298523432294,0.903788799646849
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.333673249310435,0.627912854856504
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.479226790605168,0.755104439267111
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.45992128920589,0.807952407895826
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.462806561030357,0.848342707179744
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.267098547105742,0.489399451033633
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.452675957435139,0.822581122121172
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.47501158543989,0.750784357876178
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.579835320978882,0.929203054740179
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.538165648027138,0.915562180050661
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.333673249310435,0.627912854856504
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.502825304772454,0.688988667839699
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.575619047717383,0.902470185375651
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.462806561030357,0.848342707179744
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.606301649665168,1.01762296656463
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.35701575874415,0.715672695289813
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.47501158543989,0.750784357876178
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.525427234283434,0.857939495319505
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.558466444086311,0.905883482810299
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.523442828293558,0.886961751561232
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.502825304772454,0.688988667839699
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.492064389007848,0.801021027686528
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.462806561030357,0.848342707179744
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.606301649665168,1.01762296656463
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.469278245123952,0.728279884664189
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.500095769132653,0.778468441359047
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","all","all",0.589271080000563,0.874785724763992
