"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.58808168527913
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.736212367296097
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.717295326764526
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.675580254200364
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.675023454937804
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.828853181280497
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.579339421691881
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.718161537325376
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.596262505518198
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.583472238655155
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.55380325431435
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.630408507591203
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.643281317865949
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.802234382533805
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.700089159140563
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.395525400760078
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.717199004003949
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.596262505518198
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.517119951852499
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.586663283684804
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.823453120888759
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.643281317865949
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.737742170326016
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.647843596560761
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.693283723918277
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","fecundity",0.720356358404182
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Lophophanes cristatus","Europe","Tbr","C","adult","survival",0.593528198285132
