"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens.no.cov","sens.cov"
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.36110094189197,0.775898132766812
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.332064235390299,0.728715053819831
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.179868142998712,0.697555868646139
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.234457971283855,0.709513909654769
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.366440113599798,0.810757566036232
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.111959211713879,0.534778551207793
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.170292181357578,0.648960924107389
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.295787737578594,0.644830219759709
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.325336292500056,0.783627544327232
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.201088723488636,0.634576435512944
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.299308935989936,0.850754901427261
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.303800728448956,0.770761288437738
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.162910974853746,0.577005950471164
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.339431842472027,0.924221699312431
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.215057756343865,0.546106830331072
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.306508821230261,0.755851493264646
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.217357265524815,0.671462452664055
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.307932789502448,0.802904847901186
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.359638484296457,0.812097107728863
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.323584996720562,0.791330966701974
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.260563870278164,0.691825777703383
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.138465433287743,0.601851847575812
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0922957578203419,0.696194591016921
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.446643027323548,0.834413176682004
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.152377415465852,0.694911259790066
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.00516889418699054,0.646406121809983
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.326597645701594,0.818008713936448
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.361758116325608,0.648970142687308
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.272723876023787,0.770266252831023
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0568430770364511,0.680586250080257
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0942013254781786,0.59975519421025
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.12177080726764,0.745034892031808
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.434179132564535,0.827344281777578
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.211207041255285,0.729795178480399
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.276110888160538,0.774930225112289
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0988426699961909,0.76945338396287
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.191854037102108,0.533310019601102
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.196593078381691,0.756186906132046
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.133433373959305,0.754670339973984
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.190284734774099,0.719675074368343
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.373143083118383,0.756742355292773
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.24728574527875,0.833397627021163
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.209241501306551,0.765030590336251
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.260090760503808,0.799123121246644
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.169652715165662,0.85685887473743
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.196164354362357,0.646973342357971
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.186377924564329,0.610360090589503
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.17862820153627,0.824821407997563
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.296100453971079,0.865414417315957
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.189335483192113,0.727254324906847
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.207400532576025,0.741669975336263
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.154969718030516,0.656060872564407
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.136462552851305,0.60742797810043
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.158768940110338,0.603826247360387
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.292348383008426,0.633348078811956
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.157958234318894,0.782843149095597
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.14562315856559,0.646715367301323
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.394919988950793,0.954723744142938
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.304482951500639,0.752045636723205
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0300317786861072,0.719299317880192
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.453999009843544,0.947876914394927
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.349384910101523,0.76165556138048
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.326824816388782,0.699050268711609
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.401080720971844,0.804336626384297
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.284249577409612,0.800770833458777
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.13746206189969,0.657438953805376
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0651260204008013,0.649592407877585
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.233963054478132,0.690507442962767
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.268079434476932,0.790686891098349
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.31860958767864,0.778587912033968
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.327792991968113,1.00181396198918
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.00106162835612504,0.527798963566407
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.430660535438208,0.94095162006974
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.42573007039617,0.748953826882952
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0713646765129471,0.730123929159571
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.122013993492619,0.569023379119815
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0987656910652246,0.681736326469373
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.454712079623111,0.982971694962256
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.259225299994711,0.801294796263751
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.281351387981956,0.741526420500151
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.143543535825126,0.554923282711919
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.253148523065291,0.975193767970703
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.367658905303424,0.740995425215333
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0344642061448367,0.619191197971662
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.243271378021775,0.724578556904109
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.34036895052599,0.726022569136703
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.415586027705264,0.771077971267616
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.235831886322895,0.731635383486064
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.0582522765578359,0.639329318276662
"https://doi.org/10.1098/rstb.2022.0194","2023","Birds","Prunella modularis","Europe","Tbr","C","all","all",0.28924158359544,0.689917124914697
